run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,stage,checkpoint
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_1,11,L1_1,1,1,0.076995,2.355426,0.078946,206.712,0,8.71736,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_2,11,L1_2,1,1,0.073354,2.151551,0.07836,219.87,0,8.35916,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_3,11,L1_3,1,1,0.071342,2.345372,0.075869,205.239,0,8.4854,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_4,11,L1_4,1,1,0.070633,2.269854,0.075675,215.145,0,8.29647,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_5,11,L1_5,1,1,0.075621,2.216275,0.087098,224.582,0,8.06538,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_6,11,L1_6,1,1,0.071929,2.230026,0.072849,211.647,0,8.08961,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_7,11,L1_7,1,1,0.06943,2.085972,0.071325,208.92,0,8.30786,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_8,11,L1_8,1,1,0.085212,1.945002,0.091582,220.183,0,7.65522,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_9,11,L1_9,1,1,0.090661,1.926336,0.107709,234.159,0,6.83285,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_10,11,L1_10,1,1,0.093087,1.824444,0.102936,216.774,0,7.12059,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_11,11,L1_11,1,1,0.080327,1.79079,0.094915,226.693,0,7.08552,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_12,11,L1_12,1,1,0.084895,1.734409,0.093551,212.833,0,7.15035,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_13,11,L1_13,1,1,0.082773,1.704093,0.091307,215.702,0,7.40483,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_14,11,L1_14,1,1,0.09227,1.890399,0.108248,237.666,0,6.80128,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_15,11,L1_15,1,0,0.114854,1.461386,0.137303,244.685,0,-2.33502,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_16,11,L1_16,0,0,0.112516,1.408942,0.133719,235.011,0,-4.45488,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_17,11,L1_17,1,0,0.105752,1.541415,0.13487,258.325,0,-2.09489,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_18,11,L1_18,1,1,0.104733,1.496763,0.124464,247.123,0,5.83301,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_19,11,L1_19,1,1,0.100568,1.454706,0.124857,243.389,0,5.86982,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed11::L1_20,11,L1_20,1,0,0.115333,1.501391,0.142492,243.037,0,-2.94125,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed11/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_1,22,L1_1,1,1,0.070043,2.174463,0.072066,203.505,0,8.10289,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_2,22,L1_2,1,1,0.06941,2.188846,0.079558,220.783,0,8.37692,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_3,22,L1_3,1,1,0.068263,2.098747,0.071712,202.777,0,8.28311,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_4,22,L1_4,1,1,0.07486,2.303606,0.077003,206.29,0,8.76281,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_5,22,L1_5,1,1,0.07649,2.197316,0.079841,214.815,0,8.30661,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_6,22,L1_6,1,1,0.073867,2.197467,0.081721,224.813,0,8.25455,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_7,22,L1_7,1,1,0.070041,2.252492,0.069093,204.901,1,6.98602,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_8,22,L1_8,1,1,0.085137,1.908512,0.104129,233.125,1,5.24755,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_9,22,L1_9,1,1,0.089208,1.929243,0.09889,223.631,0,7.18366,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_10,22,L1_10,1,1,0.087974,1.843608,0.106331,230.508,0,7.21267,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_11,22,L1_11,1,1,0.090926,1.776297,0.103016,235.398,0,7.10464,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_12,22,L1_12,1,1,0.086522,1.836278,0.100959,236.315,0,7.1278,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
run::M0_M1_M2_M3::single_shot_vs_multiturn::seed22::L1_13,22,L1_13,1,1,0.093807,1.779802,0.101947,226.036,0,7.00798,suite,checkpoints/exp/single_shot_vs_multiturn/m0_m1_m2_m3/seed22/checkpoint.json
