task_id,runtime_ms,joules,speedup,dominated
L1_1,29.928736,4.273791,2.0236,True
L1_3,18.710324,5.13028,2.2082,True
L1_5,34.994101,10.167725,1.3696,True
L1_6,14.003027,3.446844,2.2369,False
L1_7,19.269262,4.568374,2.0508,True
L1_8,29.486923,9.745057,1.305,True
L1_9,12.892276,4.900356,2.0786,True
L1_10,23.925755,4.976613,1.9213,True
L1_11,27.280635,11.441953,1.633,True
L1_12,20.348735,3.272049,2.0444,True
L1_14,36.690887,10.186139,1.4812,True
L1_24,16.473402,6.212251,2.1525,True
L1_25,29.824267,5.259804,1.7651,True
L1_26,27.245028,10.594433,2.0917,True
L1_27,12.45527,6.481366,1.6366,False
L1_28,27.982834,7.94046,2.2353,True
L1_31,27.379874,7.05791,1.782,True
L1_32,23.938661,9.992745,1.5441,True
L1_35,33.453928,7.061853,2.3121,True
L1_40,18.279972,4.290445,2.0887,True
L2_2,27.659329,10.694519,2.4594,True
L2_4,37.151849,10.969254,1.8141,True
L2_7,22.886208,9.336135,2.0193,True
L2_8,26.695012,7.236291,1.7178,True
L2_11,33.046403,7.647256,2.3958,True
L2_12,25.966409,7.957091,2.1807,True
L2_13,23.875616,6.745538,1.7688,True
L2_18,25.972591,9.523618,2.1654,True
L3_1,33.655109,14.398698,2.32,True
L3_8,30.756128,7.010544,1.611,True
L3_9,46.011003,6.803139,2.1735,True
L3_10,21.760089,9.824859,2.0497,True
L4_3,36.003755,16.152017,2.1874,True
L4_7,40.350566,8.645325,1.8024,True
L4_8,31.110004,8.803038,2.2343,True
L1_1,19.982149,7.31698,1.8592,True
L1_2,28.05588,7.627148,2.0084,True
L1_4,25.216139,7.075485,1.5432,True
L1_5,30.809709,5.328533,1.291,True
L1_6,17.102134,5.321338,1.8502,True
L1_7,18.47673,8.645176,2.3923,True
L1_8,25.675577,10.758524,2.3806,True
L1_9,21.641132,6.054298,2.0542,True
L1_10,27.163307,4.117055,1.3651,True
L1_11,29.733881,9.422983,2.0887,True
L1_12,12.879638,3.530209,1.4405,False
L1_13,26.542282,8.072734,1.6906,True
L1_14,37.628912,11.468853,1.169,True
L1_18,14.72154,6.405726,1.3284,True
L1_19,19.38079,7.488075,2.1805,True
L1_20,36.890861,9.113282,2.4417,True
L1_24,16.447639,5.794549,1.7518,True
L1_25,21.002463,7.530493,1.3454,True
L1_26,21.996779,8.002706,1.1737,True
L1_27,16.500203,5.706865,2.3073,True
L1_29,22.87204,10.320131,1.1586,True
L1_31,17.893473,5.679593,2.4755,True
L1_32,36.461874,6.4525,1.126,True
L1_34,21.170316,8.512937,1.5628,True
L1_36,18.915021,5.17232,2.0665,True
L1_40,19.7248,8.437134,1.2896,True
L2_7,31.05015,7.407198,2.1685,True
L2_8,34.174026,6.651291,2.4338,True
L2_10,28.193245,9.999422,1.552,True
L2_11,43.936998,7.783026,1.8283,True
L2_13,35.840917,6.752754,1.3598,True
L2_14,34.571279,9.846401,1.9474,True
L2_16,23.161153,6.50843,1.2475,True
L2_17,25.484434,8.901322,1.9531,True
L2_19,35.661837,9.56805,1.2044,True
L3_2,37.187586,7.516425,1.5049,True
L3_3,41.766877,8.64559,1.3463,True
L3_7,32.089006,7.531677,1.8199,True
L3_9,38.570834,11.444447,1.365,True
L3_10,32.872302,10.901083,1.5304,True
L4_2,41.617448,11.603994,1.2634,True
L4_3,43.223696,8.316145,1.1917,True
L4_5,42.473037,15.365886,1.7239,True
L4_9,51.025501,10.462412,2.2832,True
L1_2,30.35699,9.776093,2.3097,True
L1_3,21.616278,3.975222,1.7057,True
L1_6,21.59229,2.82027,1.2635,False
L1_10,24.431402,6.758319,1.426,True
L1_11,31.484045,8.150342,1.6567,True
L1_12,21.709068,2.942516,1.1464,True
L1_15,14.286043,5.835921,2.2998,True
L1_16,18.889821,6.494496,2.4195,True
L1_18,16.153229,2.870874,2.4278,False
L1_19,18.850143,6.751795,1.0986,True
L1_20,35.87539,7.313864,1.3523,True
L1_22,27.852176,5.535296,2.0993,True
L1_24,20.351861,5.270821,1.0529,True
L1_25,28.416564,6.376699,2.12,True
L1_26,32.590597,9.325959,1.5337,True
L1_27,18.243361,2.871711,2.0873,True
L1_31,25.372048,4.936169,2.462,True
L1_35,25.567794,7.433977,1.1083,True
L1_37,21.542742,3.749112,1.2837,True
L1_38,25.9955,10.371641,1.9296,True
L1_39,17.341429,3.494011,2.2927,True
L2_1,22.990906,8.898871,1.5774,True
L2_6,22.193029,6.458443,1.8503,True
L2_7,35.282177,5.707254,1.9952,True
L2_8,30.247859,12.238605,2.2151,True
L2_10,37.914518,10.180135,2.3846,True
L2_12,26.804051,7.01033,2.0054,True
L2_13,27.250398,10.650071,2.11,True
L2_15,20.001984,7.275085,2.4358,True
L2_16,37.104896,6.650271,1.7361,True
L2_17,40.459108,12.941539,1.06,True
L2_18,23.500339,6.870531,2.0349,True
L2_19,25.68144,7.272967,1.5997,True
L3_1,43.770244,7.859809,2.1809,True
L3_3,42.228969,12.16807,1.9852,True
L3_4,37.429652,9.270078,2.0646,True
L3_7,36.403881,11.149612,2.2937,True
L3_8,30.172283,10.591342,1.2982,True
L3_10,26.229853,7.023997,1.5235,True
L4_2,33.878533,12.639962,1.95,True
L4_4,36.030076,6.423075,1.1925,True
L4_5,45.798667,8.975194,2.4627,True
L4_6,26.027021,11.383735,1.1049,True
L4_8,38.487416,9.718539,1.9197,True
