idx,x,y,series,label
1,1,0.619696,passatk,turn_1_pt_1
2,2,0.704137,passatk,turn_2_pt_2
3,3,0.77462,passatk,turn_3_pt_3
4,4,0.806665,passatk,turn_4_pt_4
5,5,0.840754,passatk,turn_5_pt_5
6,1,0.62475,passatk,turn_1_pt_6
7,2,0.71473,passatk,turn_2_pt_7
8,3,0.772781,passatk,turn_3_pt_8
9,4,0.806219,passatk,turn_4_pt_9
10,5,0.845937,passatk,turn_5_pt_10
11,1,0.622036,passatk,turn_1_pt_11
12,2,0.7127,passatk,turn_2_pt_12
13,3,0.767714,passatk,turn_3_pt_13
14,4,0.807409,passatk,turn_4_pt_14
15,5,0.840542,passatk,turn_5_pt_15
16,1,0.621283,passatk,turn_1_pt_16
17,2,0.70939,passatk,turn_2_pt_17
18,3,0.768648,passatk,turn_3_pt_18
19,4,0.808827,passatk,turn_4_pt_19
20,5,0.838569,passatk,turn_5_pt_20
21,1,0.621517,passatk,turn_1_pt_21
22,2,0.715105,passatk,turn_2_pt_22
23,3,0.766788,passatk,turn_3_pt_23
24,4,0.810151,passatk,turn_4_pt_24
25,5,0.839465,passatk,turn_5_pt_25
26,1,0.615053,passatk,turn_1_pt_26
27,2,0.713541,passatk,turn_2_pt_27
28,3,0.770407,passatk,turn_3_pt_28
29,4,0.814805,passatk,turn_4_pt_29
30,5,0.834783,passatk,turn_5_pt_30
