index,reward
0,-1.22193
1,-1.11635
2,-1.06367
3,-1.01985
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-0.99188
35,-0.94326
36,-0.91903
37,-0.90762
38,-0.90017
39,-0.88369
40,-0.87974
41,-0.87221
42,-0.86085
43,-0.84506
44,-0.82148
45,-0.81354
46,-0.812
47,-0.78117
48,-0.77951
49,-0.76893
50,-0.76768
51,-0.75389
52,-0.72825
53,-0.71646
54,-0.71545
55,-0.71277
56,-0.71173
57,-0.69307
58,-0.68874
59,-0.64763
60,-0.6446
61,-0.63721
62,-0.62429
63,-0.60832
64,-0.60198
65,-0.60059
66,-0.60052
67,-0.59982
68,-0.58113
69,-0.56371
70,-0.55368
71,-0.54448
72,-0.54418
73,-0.52225
74,-0.51917
75,-0.5122
76,-0.5
77,-0.5
78,-0.5
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.5
144,-0.5
145,-0.5
146,-0.5
147,-0.5
148,-0.5
149,-0.5
150,-0.5
151,-0.5
152,-0.5
153,-0.5
154,-0.5
155,-0.5
156,-0.5
157,-0.5
158,-0.5
159,-0.5
160,-0.49686
161,-0.492
162,-0.48938
163,-0.48483
164,-0.47707
165,-0.45699
166,-0.4485
167,-0.44217
168,-0.44184
169,-0.43607
170,-0.42478
171,-0.42368
172,-0.42257
173,-0.4142
174,-0.41104
175,-0.41078
176,-0.40299
177,-0.39931
178,-0.39635
179,-0.39567
180,-0.38845
181,-0.38502
182,-0.38415
183,-0.37553
184,-0.37496
185,-0.35429
186,-0.3483
187,-0.32049
188,-0.31851
189,-0.31781
190,-0.31734
191,-0.30284
192,-0.29117
193,-0.28496
194,-0.2845
195,-0.28361
196,-0.27785
197,-0.26571
198,-0.26185
199,-0.2574
200,-0.25317
201,-0.25115
202,-0.23162
203,-0.2272
204,-0.22711
205,-0.22055
206,-0.21216
207,-0.20626
208,-0.19599
209,-0.18237
210,-0.18052
211,-0.18014
212,-0.17492
213,-0.15607
214,-0.14935
215,-0.14664
216,-0.14346
217,-0.13918
218,-0.11397
219,-0.10193
220,-0.09582
221,-0.06298
222,-0.05794
223,-0.05191
224,-0.04919
225,-0.04136
226,-0.03478
227,-0.02539
228,-0.02139
229,0.00835
230,0.03801
231,0.10268
232,0.12239
233,0.18638
234,0.20418
235,0.20844
236,0.35967
