idx,x,y,series,label
1,2.967477,0.554442,runtime_joules,L1_1_s11
2,3.03306,0.527175,runtime_joules,L1_10_s11
3,3.020607,0.639617,runtime_joules,L1_11_s11
4,1.856055,0.321054,runtime_joules,L1_12_s11
5,3.712522,0.792154,runtime_joules,L1_13_s11
6,2.835231,0.530781,runtime_joules,L1_14_s11
7,3.492768,0.649847,runtime_joules,L1_15_s11
8,3.896423,0.771119,runtime_joules,L1_16_s11
9,3.132435,0.59637,runtime_joules,L1_17_s11
10,3.626138,0.707051,runtime_joules,L1_18_s11
11,1.636318,0.309558,runtime_joules,L1_19_s11
12,3.867111,0.74902,runtime_joules,L1_2_s11
13,2.361488,0.430654,runtime_joules,L1_20_s11
14,3.140045,0.614268,runtime_joules,L1_3_s11
15,3.468327,0.730738,runtime_joules,L1_4_s11
16,2.232812,0.481863,runtime_joules,L1_5_s11
17,3.08928,0.623371,runtime_joules,L1_6_s11
18,2.964628,0.624912,runtime_joules,L1_7_s11
19,2.494836,0.512393,runtime_joules,L1_8_s11
20,2.245571,0.435621,runtime_joules,L1_9_s11
21,4.610226,1.114716,runtime_joules,L2_1_s11
22,6.508943,1.632928,runtime_joules,L2_10_s11
23,5.963696,1.449602,runtime_joules,L2_11_s11
24,7.27772,1.743356,runtime_joules,L2_12_s11
25,8.393714,1.925968,runtime_joules,L2_13_s11
26,5.589999,1.083723,runtime_joules,L2_14_s11
27,6.990493,1.605344,runtime_joules,L2_15_s11
28,7.938639,1.96985,runtime_joules,L2_16_s11
29,7.870697,1.559408,runtime_joules,L2_17_s11
30,8.664788,2.175999,runtime_joules,L2_18_s11
