task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,20.500277,10.846278,218.242,45.296177,2.2095,-0.39913
L1_2,1,3,11,False,False,,,,33.335258,0.0,-1.0
L1_3,1,1,11,True,False,15.276133,6.25625,208.321,15.276133,0.0,-0.5
L1_4,1,2,11,True,True,18.925446,7.782291,212.131,28.191066,1.4896,-0.62743
L1_5,1,3,11,True,True,39.403402,10.694873,256.051,78.663239,1.9964,-0.49356
L1_6,1,1,11,True,True,15.61429,5.145206,261.644,33.963116,2.1751,-0.04194
L1_7,1,2,11,True,True,29.961437,6.143412,255.797,58.331871,1.9469,-0.24145
L1_8,1,3,11,True,False,26.426594,8.590992,250.843,26.426594,0.0,-0.5
L1_9,1,1,11,True,True,18.263867,3.44368,251.056,26.811735,1.468,-0.23436
L1_10,1,2,11,True,True,23.207918,5.886639,262.082,31.503552,1.3574,-0.58074
L1_11,1,3,11,True,True,24.019834,12.197702,239.147,28.49323,1.1862,-1.07984
L1_12,1,1,11,False,False,,,,18.443465,0.0,-1.0
L1_13,1,2,11,True,False,32.706774,7.660357,204.43,32.706774,0.0,-0.5
L1_14,1,3,11,True,True,35.441438,6.675598,243.19,41.725406,1.1773,-0.786
L1_15,1,1,11,False,False,,,,14.965399,0.0,-1.0
L1_16,1,2,11,True,False,18.987665,5.407882,233.677,18.987665,0.0,-0.5
L1_17,1,3,11,True,False,26.341559,7.297515,222.629,26.341559,0.0,-0.5
L1_18,1,1,11,True,True,21.569484,5.419109,201.792,49.088295,2.2758,-0.02262
L1_19,1,2,11,True,False,33.468271,10.49211,209.851,33.468271,0.0,-0.5
L1_20,1,3,11,False,False,,,,28.918331,0.0,-1.0
L1_21,1,1,11,True,True,13.672777,5.784266,211.652,33.521322,2.4517,0.0192
L1_22,1,2,11,True,False,31.368641,10.070298,260.638,31.368641,0.0,-0.5
L1_23,1,3,11,False,False,,,,40.763487,0.0,-1.0
L1_24,1,1,11,False,False,,,,24.057652,0.0,-1.0
L1_25,1,2,11,True,True,22.027099,5.366956,226.49,35.002186,1.5891,-0.37699
L1_26,1,3,11,True,True,34.575649,10.868915,198.244,64.17955,1.8562,-0.57442
L1_27,1,1,11,True,False,13.410243,5.151788,199.904,13.410243,0.0,-0.5
L1_28,1,2,11,True,True,19.370309,10.767175,230.534,30.969984,1.5988,-0.71897
L1_29,1,3,11,True,False,29.354752,10.99724,204.062,29.354752,0.0,-0.5
L1_30,1,1,11,True,False,18.120911,7.105284,253.746,18.120911,0.0,-0.5
