idx,x,y,series,label
1,0.960061,0.032459,pareto,pareto_1
2,0.544442,0.779465,pareto,pareto_2
3,0.151562,0.63546,pareto,pareto_3
4,0.287566,0.865853,pareto,pareto_4
5,0.691746,0.476716,pareto,pareto_5
6,0.024945,0.383131,pareto,pareto_6
7,0.525476,0.566604,pareto,pareto_7
8,0.933908,0.505799,pareto,pareto_8
9,0.644699,0.649997,pareto,pareto_9
10,0.547128,0.695885,pareto,pareto_10
11,0.408119,0.876679,pareto,pareto_11
12,0.027674,0.995062,pareto,pareto_12
13,0.11002,0.921791,pareto,pareto_13
14,0.435472,0.854596,pareto,pareto_14
15,0.290152,0.705028,pareto,pareto_15
16,0.785913,0.251945,pareto,pareto_16
17,0.12177,0.749824,pareto,pareto_17
18,0.314271,0.325294,pareto,pareto_18
19,0.108182,0.381794,pareto,pareto_19
20,0.282417,0.302323,pareto,pareto_20
21,0.786519,0.181911,pareto,pareto_21
22,0.404722,0.873618,pareto,pareto_22
23,0.789959,0.447956,pareto,pareto_23
24,0.331687,0.259741,pareto,pareto_24
25,0.505376,0.64338,pareto,pareto_25
26,0.054376,0.855278,pareto,pareto_26
27,0.466827,0.036067,pareto,pareto_27
28,0.894851,0.118685,pareto,pareto_28
29,0.561023,0.620018,pareto,pareto_29
30,0.074516,0.887188,pareto,pareto_30
