idx,x,y,series,label
1,1,0.637273,passatk,turn_1_p1
2,2,0.699494,passatk,turn_2_p2
3,3,0.756733,passatk,turn_3_p3
4,4,0.786022,passatk,turn_4_p4
5,5,0.825528,passatk,turn_5_p5
6,1,0.62786,passatk,turn_1_p6
7,2,0.694033,passatk,turn_2_p7
8,3,0.750033,passatk,turn_3_p8
9,4,0.787377,passatk,turn_4_p9
10,5,0.825798,passatk,turn_5_p10
11,1,0.625113,passatk,turn_1_p11
12,2,0.692856,passatk,turn_2_p12
13,3,0.753277,passatk,turn_3_p13
14,4,0.789491,passatk,turn_4_p14
15,5,0.826002,passatk,turn_5_p15
16,1,0.623072,passatk,turn_1_p16
17,2,0.697965,passatk,turn_2_p17
18,3,0.757236,passatk,turn_3_p18
19,4,0.7903,passatk,turn_4_p19
20,5,0.818672,passatk,turn_5_p20
21,1,0.634866,passatk,turn_1_p21
22,2,0.700325,passatk,turn_2_p22
23,3,0.75551,passatk,turn_3_p23
24,4,0.792874,passatk,turn_4_p24
25,5,0.820506,passatk,turn_5_p25
26,1,0.62562,passatk,turn_1_p26
27,2,0.698142,passatk,turn_2_p27
28,3,0.75683,passatk,turn_3_p28
29,4,0.791885,passatk,turn_4_p29
30,5,0.826978,passatk,turn_5_p30
