idx,x,y,series,label
1,3.187533,0.635278,runtime_joules,L1_1_s11
2,2.924336,0.537121,runtime_joules,L1_10_s11
3,3.686067,0.668547,runtime_joules,L1_11_s11
4,2.730005,0.516272,runtime_joules,L1_12_s11
5,3.9907,0.83346,runtime_joules,L1_13_s11
6,3.785556,0.755638,runtime_joules,L1_14_s11
7,3.603645,0.689461,runtime_joules,L1_15_s11
8,3.163697,0.639537,runtime_joules,L1_16_s11
9,2.996106,0.586273,runtime_joules,L1_17_s11
10,3.595854,0.694312,runtime_joules,L1_18_s11
11,2.490612,0.454331,runtime_joules,L1_19_s11
12,4.20186,0.853651,runtime_joules,L1_2_s11
13,2.488667,0.478233,runtime_joules,L1_20_s11
14,3.194556,0.538145,runtime_joules,L1_3_s11
15,3.394478,0.701545,runtime_joules,L1_4_s11
16,2.203777,0.371915,runtime_joules,L1_5_s11
17,3.229525,0.628624,runtime_joules,L1_6_s11
18,2.724917,0.604625,runtime_joules,L1_7_s11
19,3.607247,0.740769,runtime_joules,L1_8_s11
20,3.016989,0.610498,runtime_joules,L1_9_s11
21,6.59502,1.441824,runtime_joules,L2_1_s11
22,7.90179,2.097944,runtime_joules,L2_10_s11
23,7.188947,1.738106,runtime_joules,L2_11_s11
24,9.137228,2.20303,runtime_joules,L2_12_s11
25,8.897633,1.917321,runtime_joules,L2_13_s11
26,6.126418,1.623129,runtime_joules,L2_14_s11
27,7.001233,1.537912,runtime_joules,L2_15_s11
28,6.836394,1.416919,runtime_joules,L2_16_s11
29,6.738641,1.651331,runtime_joules,L2_17_s11
30,10.353038,2.257078,runtime_joules,L2_18_s11
