task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,22.558346,6.892548,250.378,48.392531,2.1452,-0.20198
L1_2,1,3,11,True,True,24.446787,13.661882,258.032,41.853774,1.712,-0.76962
L1_3,1,1,11,True,False,25.232481,7.221475,228.237,25.232481,0.0,-0.5
L1_4,1,2,11,True,True,21.865214,9.472414,233.676,51.497326,2.3552,-0.26756
L1_5,1,3,11,True,True,39.294789,13.764994,238.435,42.523504,1.0822,-1.2321
L1_6,1,1,11,True,True,18.967851,5.449629,203.021,36.254719,1.9114,-0.19995
L1_7,1,2,11,True,True,27.608944,6.030346,240.144,56.758931,2.0558,-0.17773
L1_8,1,3,11,True,True,43.80283,6.309521,235.647,68.551547,1.565,-0.47314
L1_9,1,1,11,True,False,25.410226,4.020283,232.747,25.410226,0.0,-0.5
L1_10,1,2,11,True,True,30.987977,5.018965,212.549,42.073813,1.3577,-0.50079
L1_11,1,3,11,True,True,31.46259,8.536566,253.363,77.245271,2.4551,-0.17399
L1_12,1,1,11,True,False,25.742951,6.158232,211.57,25.742951,0.0,-0.5
L1_13,1,2,11,True,False,29.720644,9.340302,225.524,29.720644,0.0,-0.5
L1_14,1,3,11,True,True,25.704465,11.928705,209.534,39.647155,1.5424,-0.80612
L1_15,1,1,11,True,False,22.564848,6.307833,244.507,22.564848,0.0,-0.5
L1_16,1,2,11,True,False,25.735709,6.360931,207.338,25.735709,0.0,-0.5
L1_17,1,3,11,True,True,34.55833,8.489662,252.275,61.751726,1.7869,-0.48895
L1_18,1,1,11,True,False,17.426121,7.718728,240.675,17.426121,0.0,-0.5
L1_19,1,2,11,True,False,30.583735,9.548902,250.535,30.583735,0.0,-0.5
L1_20,1,3,11,True,True,33.72525,10.094203,218.786,49.051516,1.4544,-0.78136
L1_21,1,1,11,True,False,20.764433,3.973995,256.802,20.764433,0.0,-0.5
L1_22,1,2,11,True,True,20.177496,7.152547,209.436,29.125722,1.4435,-0.61668
L1_23,1,3,11,True,True,33.292348,10.779737,198.441,58.016948,1.7427,-0.63343
L1_24,1,1,11,True,False,16.252243,6.940222,254.905,16.252243,0.0,-0.5
L1_25,1,2,11,True,False,33.434734,5.34332,259.711,33.434734,0.0,-0.5
L1_26,1,3,11,True,True,34.932878,8.027556,244.538,81.892328,2.3443,-0.18946
L1_27,1,1,11,True,True,22.628561,5.422399,219.167,50.542266,2.2336,-0.04167
L1_28,1,2,11,False,False,,,,34.118335,0.0,-1.0
L1_29,1,3,11,True,True,35.899832,8.773118,204.571,50.51469,1.4071,-0.74431
L1_30,1,1,11,True,False,15.81685,7.32865,254.266,15.81685,0.0,-0.5
L1_31,1,2,11,True,False,34.748343,10.328897,222.033,34.748343,0.0,-0.5
L1_32,1,3,11,True,False,38.597859,14.17623,243.984,38.597859,0.0,-0.5
L1_33,1,1,11,False,False,,,,23.009186,0.0,-1.0
L1_34,1,2,11,True,True,28.913719,8.197874,219.435,47.667074,1.6486,-0.55201
L1_35,1,3,11,False,False,,,,26.208231,0.0,-1.0
L1_36,1,1,11,True,True,15.227658,6.803365,217.398,30.769402,2.0206,-0.2553
L1_37,1,2,11,True,False,27.760628,6.13758,198.754,27.760628,0.0,-0.5
L1_38,1,3,11,True,True,28.407746,12.190661,218.863,48.156832,1.6952,-0.72253
L1_39,1,1,11,False,False,,,,15.091361,0.0,-1.0
L1_40,1,2,11,True,False,23.68595,9.443839,236.247,23.68595,0.0,-0.5
L2_1,2,3,11,True,True,33.511654,14.03668,213.586,56.224192,1.6778,-0.80338
L2_2,2,4,11,True,True,31.081876,10.795267,262.102,42.691435,1.3735,-0.87218
L2_3,2,2,11,True,True,24.183237,8.666004,208.119,50.444273,2.0859,-0.34449
L2_4,2,3,11,True,False,30.510948,9.711268,255.493,30.510948,0.0,-0.5
L2_5,2,4,11,True,True,34.6474,14.549166,239.006,52.309796,1.5098,-0.92681
L2_6,2,2,11,True,True,31.293738,6.816558,240.013,36.134439,1.1547,-0.81585
L2_7,2,3,11,True,True,40.333616,10.860596,211.117,77.908426,1.9316,-0.53422
L2_8,2,4,11,True,False,49.061607,10.525441,216.365,49.061607,0.0,-0.5
L2_9,2,2,11,True,True,23.457924,7.820971,237.188,51.874947,2.2114,-0.23478
L2_10,2,3,11,True,True,36.451546,9.076459,236.589,52.387229,1.4372,-0.74016
L2_11,2,4,11,True,True,48.895496,7.869407,242.276,67.522572,1.381,-0.70871
L2_12,2,2,11,True,True,21.494017,8.488398,200.2,38.377809,1.7855,-0.48965
L2_13,2,3,11,False,False,,,,40.850056,0.0,-1.0
L2_14,2,4,11,True,True,50.437107,8.706734,257.242,81.637251,1.6186,-0.60049
L2_15,2,2,11,True,True,30.21292,6.813083,256.78,65.124176,2.1555,-0.1914
L2_16,2,3,11,True,True,36.00484,11.559615,261.218,62.350716,1.7317,-0.67464
L2_17,2,4,11,True,True,33.636297,8.104907,225.113,37.8953,1.1266,-0.92701
L2_18,2,2,11,True,True,33.128395,10.078522,218.737,54.756003,1.6528,-0.65271
L2_19,2,3,11,True,False,45.002321,9.463655,208.028,45.002321,0.0,-0.5
L2_20,2,4,11,True,True,39.923311,15.231072,232.636,68.42069,1.7138,-0.82295
L3_1,3,4,11,False,False,,,,41.959083,0.0,-1.0
L3_2,3,3,11,False,False,,,,36.01021,0.0,-1.0
L3_3,3,4,11,True,True,55.072383,15.780195,246.513,80.045708,1.4535,-1.00543
L3_4,3,3,11,True,True,33.082893,9.438154,252.825,47.476916,1.4351,-0.76115
L3_5,3,4,11,True,True,51.09743,16.075703,210.972,67.417977,1.3194,-1.11148
L3_6,3,3,11,True,False,32.97285,10.076639,203.313,32.97285,0.0,-0.5
L3_7,3,4,11,True,False,53.962353,8.253341,229.082,53.962353,0.0,-0.5
L3_8,3,3,11,True,True,26.17474,7.624263,247.292,41.895829,1.6006,-0.54528
L3_9,3,4,11,False,False,,,,34.550686,0.0,-1.0
L3_10,3,3,11,True,True,30.346337,6.47122,210.899,61.132208,2.0145,-0.23332
L4_1,4,5,11,True,False,57.308684,14.937575,248.115,57.308684,0.0,-0.5
L4_2,4,4,11,True,False,31.505885,10.374632,235.729,31.505885,0.0,-0.5
L4_3,4,5,11,True,True,46.725236,14.145635,228.699,115.850423,2.4794,-0.41669
L4_4,4,4,11,False,False,,,,46.512207,0.0,-1.0
L4_5,4,5,11,True,True,59.723088,18.231591,206.833,130.705226,2.1885,-0.66835
L4_6,4,4,11,True,True,47.445084,9.473895,248.992,109.151911,2.3006,-0.2911
L4_7,4,5,11,True,False,55.228739,15.703826,236.641,55.228739,0.0,-0.5
L4_8,4,4,11,True,True,39.999213,9.233498,256.519,72.46223,1.8116,-0.51721
L4_9,4,5,11,True,False,49.038073,12.979086,216.076,49.038073,0.0,-0.5
L1_1,1,2,22,True,True,30.964587,8.6851,201.726,59.409994,1.9186,-0.42919
L1_2,1,3,22,False,False,,,,27.579932,0.0,-1.0
L1_3,1,1,22,False,False,,,,23.707657,0.0,-1.0
L1_4,1,2,22,True,True,22.945144,5.296946,202.674,44.084361,1.9213,-0.18057
L1_5,1,3,22,True,False,43.565412,12.29651,235.116,43.565412,0.0,-0.5
L1_6,1,1,22,True,True,19.92799,4.687828,201.169,29.129035,1.4617,-0.39287
L1_7,1,2,22,True,False,22.461873,5.156976,253.253,22.461873,0.0,-0.5
L1_8,1,3,22,True,True,28.297402,12.857335,196.381,44.436854,1.5704,-0.82566
L1_9,1,1,22,True,False,21.900591,7.531808,259.088,21.900591,0.0,-0.5
L1_10,1,2,22,True,False,30.917737,5.315048,222.544,30.917737,0.0,-0.5
L1_11,1,3,22,True,False,32.529211,7.831618,238.53,32.529211,0.0,-0.5
L1_12,1,1,22,True,True,13.950348,6.153727,219.419,24.596092,1.7631,-0.34145
L1_13,1,2,22,True,True,33.503693,6.113832,256.712,67.586033,2.0173,-0.20353
L1_14,1,3,22,True,False,29.060866,11.955641,207.358,29.060866,0.0,-0.5
L1_15,1,1,22,True,False,15.523107,4.625569,231.866,15.523107,0.0,-0.5
L1_16,1,2,22,True,False,27.487665,5.17509,254.694,27.487665,0.0,-0.5
L1_17,1,3,22,True,False,25.719686,8.358512,263.875,25.719686,0.0,-0.5
L1_18,1,1,22,True,True,18.272348,7.760125,226.395,39.592697,2.1668,-0.25124
L1_19,1,2,22,True,True,20.899497,7.038897,244.941,50.559518,2.4192,-0.0923
L1_20,1,3,22,True,True,39.476262,10.221637,235.003,72.251496,1.8303,-0.5578
L1_21,1,1,22,True,True,22.943826,6.232392,257.249,31.108293,1.3558,-0.61045
L1_22,1,2,22,True,True,23.76676,10.992683,216.208,39.834121,1.676,-0.68218
L1_23,1,3,22,True,False,33.448683,12.62682,239.985,33.448683,0.0,-0.5
L1_24,1,1,22,True,True,14.4921,7.641628,238.933,23.061896,1.5913,-0.55223
L1_25,1,2,22,True,True,29.35079,5.170952,230.041,39.156938,1.3341,-0.53327
L1_26,1,3,22,True,True,27.938107,7.56153,230.822,55.632177,1.9913,-0.32277
L1_27,1,1,22,False,False,,,,20.764611,0.0,-1.0
L1_28,1,2,22,True,True,29.517199,9.090492,247.224,32.264748,1.0931,-1.01461
L1_29,1,3,22,True,True,27.649227,8.054264,248.895,42.475583,1.5362,-0.61377
L1_30,1,1,22,True,True,18.687801,5.873842,227.742,23.218984,1.2425,-0.66816
L1_31,1,2,22,True,False,33.472424,10.511462,225.137,33.472424,0.0,-0.5
