task_id,runtime_ms,joules,speedup,dominated
L1_1,22.558346,6.892548,2.1452,True
L1_2,24.446787,13.661882,1.712,True
L1_4,21.865214,9.472414,2.3552,True
L1_5,39.294789,13.764994,1.0822,True
L1_6,18.967851,5.449629,1.9114,True
L1_7,27.608944,6.030346,2.0558,True
L1_8,43.80283,6.309521,1.565,True
L1_10,30.987977,5.018965,1.3577,True
L1_11,31.46259,8.536566,2.4551,True
L1_14,25.704465,11.928705,1.5424,True
L1_17,34.55833,8.489662,1.7869,True
L1_20,33.72525,10.094203,1.4544,True
L1_22,20.177496,7.152547,1.4435,True
L1_23,33.292348,10.779737,1.7427,True
L1_26,34.932878,8.027556,2.3443,True
L1_27,22.628561,5.422399,2.2336,True
L1_29,35.899832,8.773118,1.4071,True
L1_34,28.913719,8.197874,1.6486,True
L1_36,15.227658,6.803365,2.0206,True
L1_38,28.407746,12.190661,1.6952,True
L2_1,33.511654,14.03668,1.6778,True
L2_2,31.081876,10.795267,1.3735,True
L2_3,24.183237,8.666004,2.0859,True
L2_5,34.6474,14.549166,1.5098,True
L2_6,31.293738,6.816558,1.1547,True
L2_7,40.333616,10.860596,1.9316,True
L2_9,23.457924,7.820971,2.2114,True
L2_10,36.451546,9.076459,1.4372,True
L2_11,48.895496,7.869407,1.381,True
L2_12,21.494017,8.488398,1.7855,True
L2_14,50.437107,8.706734,1.6186,True
L2_15,30.21292,6.813083,2.1555,True
L2_16,36.00484,11.559615,1.7317,True
L2_17,33.636297,8.104907,1.1266,True
L2_18,33.128395,10.078522,1.6528,True
L2_20,39.923311,15.231072,1.7138,True
L3_3,55.072383,15.780195,1.4535,True
L3_4,33.082893,9.438154,1.4351,True
L3_5,51.09743,16.075703,1.3194,True
L3_8,26.17474,7.624263,1.6006,True
L3_10,30.346337,6.47122,2.0145,True
L4_3,46.725236,14.145635,2.4794,True
L4_5,59.723088,18.231591,2.1885,True
L4_6,47.445084,9.473895,2.3006,True
L4_8,39.999213,9.233498,1.8116,True
L1_1,30.964587,8.6851,1.9186,True
L1_4,22.945144,5.296946,1.9213,True
L1_6,19.92799,4.687828,1.4617,True
L1_8,28.297402,12.857335,1.5704,True
L1_12,13.950348,6.153727,1.7631,True
L1_13,33.503693,6.113832,2.0173,True
L1_18,18.272348,7.760125,2.1668,True
L1_19,20.899497,7.038897,2.4192,True
L1_20,39.476262,10.221637,1.8303,True
L1_21,22.943826,6.232392,1.3558,True
L1_22,23.76676,10.992683,1.676,True
L1_24,14.4921,7.641628,1.5913,True
L1_25,29.35079,5.170952,1.3341,True
L1_26,27.938107,7.56153,1.9913,True
L1_28,29.517199,9.090492,1.0931,True
L1_29,27.649227,8.054264,1.5362,True
L1_30,18.687801,5.873842,1.2425,True
L1_34,23.760993,9.092653,2.1252,True
L1_36,16.365882,6.182869,1.563,True
L1_38,26.135476,10.826919,2.0737,True
L1_40,28.959339,4.971566,1.5734,True
L2_3,23.011221,6.993362,1.3395,True
L2_6,29.684922,10.47769,1.1764,True
L2_10,26.286671,10.9968,2.3822,True
L2_11,32.886357,9.166579,2.3085,True
L2_16,28.40393,11.067988,2.2753,True
L2_17,40.939399,16.071684,2.2799,True
L2_18,34.580025,4.806452,1.0512,True
L2_19,27.22795,11.811505,2.3498,True
L3_4,33.57732,7.623208,1.46,True
L3_6,36.752927,10.859982,2.2728,True
L3_8,41.615953,7.66189,1.4592,True
L1_3,18.3774,7.366321,2.1364,True
L1_5,41.354068,12.403244,1.3116,True
L1_6,23.112846,3.610232,1.515,True
L1_9,19.622893,6.982782,2.151,True
L1_12,15.423793,5.515055,2.2098,True
L1_15,19.70294,4.693184,1.9868,True
L1_16,28.104695,6.093182,2.2651,True
L1_18,24.247836,3.625728,1.2239,True
L1_19,19.246802,9.976439,2.1885,True
L1_20,36.860351,9.792331,1.1765,True
L1_21,15.881415,6.235031,1.936,True
L1_22,29.226944,5.073298,1.7462,True
L1_24,20.421546,6.896657,1.5222,True
L1_25,23.597237,9.051808,1.2422,True
L1_27,24.314076,5.59937,1.8486,True
L1_29,28.266729,9.258493,1.5712,True
L1_31,30.503472,6.094402,1.5768,True
L1_32,43.102443,11.713817,2.4662,True
L1_34,21.055247,8.60094,1.4703,True
L1_36,20.62909,5.779454,1.5108,True
L1_39,13.860941,3.595369,1.9435,False
L2_1,38.429844,9.04329,1.6991,True
L2_3,32.693775,6.007818,1.5962,True
L2_4,40.723941,12.761042,1.5957,True
L2_6,24.784919,8.364118,1.6076,True
L2_9,21.032896,7.759143,1.2566,True
L2_10,31.108904,8.92235,1.6708,True
L2_13,42.673508,10.836954,1.4492,True
L2_15,31.663018,8.258515,1.6551,True
L3_1,37.945376,10.526693,1.2381,True
L3_6,32.472759,12.841197,1.9055,True
L3_7,52.30571,16.051923,1.9517,True
L3_8,36.243009,7.822096,1.2295,True
L4_1,34.080081,13.994838,1.3441,True
L4_4,42.70813,8.482475,1.9775,True
L4_8,42.952165,9.44366,1.8094,True
