idx,x,y,series,label
1,1,0.600557,passatk,turn_1_pt_1
2,2,0.685396,passatk,turn_2_pt_2
3,3,0.735753,passatk,turn_3_pt_3
4,4,0.775404,passatk,turn_4_pt_4
5,5,0.79126,passatk,turn_5_pt_5
6,1,0.59603,passatk,turn_1_pt_6
7,2,0.674706,passatk,turn_2_pt_7
8,3,0.728804,passatk,turn_3_pt_8
9,4,0.76475,passatk,turn_4_pt_9
10,5,0.786328,passatk,turn_5_pt_10
11,1,0.602574,passatk,turn_1_pt_11
12,2,0.682978,passatk,turn_2_pt_12
13,3,0.735002,passatk,turn_3_pt_13
14,4,0.774861,passatk,turn_4_pt_14
15,5,0.794364,passatk,turn_5_pt_15
16,1,0.60266,passatk,turn_1_pt_16
17,2,0.68212,passatk,turn_2_pt_17
18,3,0.732687,passatk,turn_3_pt_18
19,4,0.768598,passatk,turn_4_pt_19
20,5,0.793058,passatk,turn_5_pt_20
21,1,0.605505,passatk,turn_1_pt_21
22,2,0.677594,passatk,turn_2_pt_22
23,3,0.72813,passatk,turn_3_pt_23
24,4,0.775106,passatk,turn_4_pt_24
25,5,0.794653,passatk,turn_5_pt_25
26,1,0.595894,passatk,turn_1_pt_26
27,2,0.684229,passatk,turn_2_pt_27
28,3,0.731136,passatk,turn_3_pt_28
29,4,0.76436,passatk,turn_4_pt_29
30,5,0.794731,passatk,turn_5_pt_30
