index,reward
0,-1.2321
1,-1.11148
2,-1.02363
3,-1.01461
4,-1.01213
5,-1.00543
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-0.98777
31,-0.97824
32,-0.96338
33,-0.92701
34,-0.92681
35,-0.88459
36,-0.87218
37,-0.82566
38,-0.82295
39,-0.82187
40,-0.82046
41,-0.81585
42,-0.80612
43,-0.8059
44,-0.80338
45,-0.79607
46,-0.78136
47,-0.76962
48,-0.76115
49,-0.74431
50,-0.74016
51,-0.73508
52,-0.72253
53,-0.71922
54,-0.70871
55,-0.69046
56,-0.68218
57,-0.6802
58,-0.67464
59,-0.66835
60,-0.66816
61,-0.66092
62,-0.65271
63,-0.64024
64,-0.63714
65,-0.63343
66,-0.63159
67,-0.61668
68,-0.61377
69,-0.61045
70,-0.60049
71,-0.58725
72,-0.58099
73,-0.57093
74,-0.56438
75,-0.5578
76,-0.55223
77,-0.55201
78,-0.55177
79,-0.54536
80,-0.54528
81,-0.53422
82,-0.53327
83,-0.52965
84,-0.51721
85,-0.50079
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.5
144,-0.5
145,-0.5
146,-0.5
147,-0.5
148,-0.5
149,-0.5
150,-0.5
151,-0.5
152,-0.5
153,-0.5
154,-0.5
155,-0.5
156,-0.5
157,-0.5
158,-0.5
159,-0.5
160,-0.5
161,-0.5
162,-0.5
163,-0.5
164,-0.5
165,-0.5
166,-0.5
167,-0.5
168,-0.5
169,-0.5
170,-0.5
171,-0.5
172,-0.5
173,-0.5
174,-0.5
175,-0.5
176,-0.5
177,-0.5
178,-0.5
179,-0.5
180,-0.5
181,-0.5
182,-0.5
183,-0.5
184,-0.5
185,-0.5
186,-0.48965
187,-0.48895
188,-0.47314
189,-0.46452
190,-0.46425
191,-0.46169
192,-0.4483
193,-0.44202
194,-0.42919
195,-0.4289
196,-0.41669
197,-0.39287
198,-0.38717
199,-0.38019
200,-0.37994
201,-0.37155
202,-0.3669
203,-0.34988
204,-0.34862
205,-0.34449
206,-0.34145
207,-0.33076
208,-0.3277
209,-0.32277
210,-0.2911
211,-0.27116
212,-0.26756
213,-0.2553
214,-0.25454
215,-0.25446
216,-0.25124
217,-0.2469
218,-0.23934
219,-0.23478
220,-0.23332
221,-0.22647
222,-0.20581
223,-0.20353
224,-0.20198
225,-0.19995
226,-0.1914
227,-0.18946
228,-0.18057
229,-0.17773
230,-0.17399
231,-0.0923
232,-0.08655
233,-0.08597
234,-0.06084
235,-0.04167
236,0.02465
