idx,x,y,series,label
1,0.639227,0.019364,runtime_joules,runtime_joules_1
2,0.306579,0.820044,runtime_joules,runtime_joules_2
3,0.380121,0.139745,runtime_joules,runtime_joules_3
4,0.397735,0.298269,runtime_joules,runtime_joules_4
5,0.799048,0.294427,runtime_joules,runtime_joules_5
6,0.993961,0.772127,runtime_joules,runtime_joules_6
7,0.850526,0.237483,runtime_joules,runtime_joules_7
8,0.494051,0.20286,runtime_joules,runtime_joules_8
9,0.08982,0.031024,runtime_joules,runtime_joules_9
10,0.372547,0.318084,runtime_joules,runtime_joules_10
11,0.49416,0.676058,runtime_joules,runtime_joules_11
12,0.959179,0.352443,runtime_joules,runtime_joules_12
13,0.61453,0.246192,runtime_joules,runtime_joules_13
14,0.349161,0.108491,runtime_joules,runtime_joules_14
15,0.274907,0.134104,runtime_joules,runtime_joules_15
16,0.137322,0.818133,runtime_joules,runtime_joules_16
17,0.124521,0.661361,runtime_joules,runtime_joules_17
18,0.804442,0.849558,runtime_joules,runtime_joules_18
19,0.185621,0.45654,runtime_joules,runtime_joules_19
20,0.754868,0.860758,runtime_joules,runtime_joules_20
21,0.462025,0.153965,runtime_joules,runtime_joules_21
22,0.521881,0.607883,runtime_joules,runtime_joules_22
23,0.388181,0.158361,runtime_joules,runtime_joules_23
24,0.816034,0.121847,runtime_joules,runtime_joules_24
25,0.28098,0.743164,runtime_joules,runtime_joules_25
26,0.383152,0.140559,runtime_joules,runtime_joules_26
27,0.688535,0.689454,runtime_joules,runtime_joules_27
28,0.447967,0.494044,runtime_joules,runtime_joules_28
29,0.624576,0.14934,runtime_joules,runtime_joules_29
30,0.255297,0.306654,runtime_joules,runtime_joules_30
