run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M0_SFT::single_shot_generation::seed11::L1_1,11,L1_1,1,1,2.007987,1.380405,0.386047,189.083,0,7.998486,3,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_2,11,L1_2,1,0,3.509973,1.365479,0.714187,201.904,0,1.62844,-1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_3,11,L1_3,1,1,3.325956,1.447153,0.625091,200.024,0,7.65153,3,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_4,11,L1_4,1,1,3.27855,1.562976,0.655377,201.606,0,7.477763,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_5,11,L1_5,1,1,2.092723,1.541761,0.333988,165.969,0,7.783816,3,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_6,11,L1_6,1,1,2.786373,1.404054,0.518871,179.732,0,7.992612,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_7,11,L1_7,1,1,2.568523,1.258958,0.541546,198.772,0,7.648448,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_8,11,L1_8,1,1,2.89347,1.39351,0.611579,217.75,0,7.781783,1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_9,11,L1_9,1,1,2.399317,1.606799,0.489443,204.744,0,7.981106,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_10,11,L1_10,1,0,3.621878,1.318293,0.782123,219.752,0,3.008892,-1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_11,11,L1_11,1,1,2.936076,1.606791,0.560136,196.51,0,7.574511,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_12,11,L1_12,1,0,2.768211,1.492706,0.606359,217.997,0,2.726966,-1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_13,11,L1_13,1,1,3.480195,1.330207,0.668948,196.148,0,7.73183,1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_14,11,L1_14,1,1,3.286718,1.522726,0.729568,217.195,0,7.2074,3,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_15,11,L1_15,1,0,3.189756,1.395506,0.657715,204.351,0,2.145303,-1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_16,11,L1_16,1,1,3.890744,1.43519,0.713749,184.668,0,7.541891,1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_17,11,L1_17,1,0,3.215288,1.500978,0.666311,204.552,0,2.486428,-1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_18,11,L1_18,1,1,3.963831,1.438179,0.778626,195.049,0,6.813344,3,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_19,11,L1_19,1,1,2.165393,1.366229,0.428188,196.331,0,8.370378,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L1_20,11,L1_20,1,1,2.229108,1.560002,0.41781,198.216,0,7.368143,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L2_1,11,L2_1,1,1,4.802245,1.325712,1.120026,240.596,0,6.786225,2,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L2_2,11,L2_2,1,0,4.960424,1.452681,1.131254,240.056,0,2.82305,-1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L2_3,11,L2_3,1,0,4.949393,1.243923,1.167723,235.408,0,1.941718,6,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
run::M0_SFT::single_shot_generation::seed11::L2_4,11,L2_4,1,0,6.6578,1.139712,1.619263,240.511,0,1.73639,-1,,sft,checkpoints/exp/single_shot_generation/m0_sft/seed11/checkpoint.json
