task_id,runtime_ms,joules,speedup,dominated
L1_1,25.180826,8.321007,1.1015,True
L1_3,12.395524,3.193088,2.3645,False
L1_4,26.831513,4.833817,2.4457,True
L1_6,21.720423,3.76227,1.6824,True
L1_7,18.770797,8.548226,1.5348,True
L1_8,30.717805,10.342168,1.3238,True
L1_11,21.539882,8.666296,1.1423,True
L1_13,29.727015,7.767035,1.9745,True
L1_14,27.55542,6.114586,1.2015,True
L1_19,25.222167,4.930152,2.1079,True
L1_22,17.451715,7.544421,2.1661,True
L1_23,33.024297,7.412056,1.9774,True
L1_24,17.478805,6.39587,1.1152,True
L1_25,20.099124,7.970957,1.7321,True
L1_26,30.32969,7.142294,1.2793,True
L1_27,14.151197,4.650965,1.8358,True
L1_28,22.18041,7.978507,1.7715,True
L1_36,21.57049,4.413766,1.4503,True
L1_37,27.544562,6.139892,1.3659,True
L1_39,20.769159,5.634761,2.0683,True
L2_5,32.965076,7.982959,2.1384,True
L2_6,16.728267,9.190861,1.7544,True
L2_9,27.642492,5.824238,1.6906,True
L2_10,32.768936,7.987283,1.2596,True
L2_12,16.725379,4.440115,1.4145,True
L2_13,24.370517,11.303987,1.9156,True
L2_15,19.12045,7.228988,2.2894,True
L2_18,29.344284,8.745259,1.531,True
L3_2,21.815509,7.956247,1.4722,True
L3_4,28.870026,11.286132,1.7691,True
L3_5,31.817484,8.820949,1.6634,True
L3_8,33.20369,10.79772,1.5615,True
L3_9,41.512519,8.598096,2.4914,True
L4_1,46.269342,15.655393,2.0434,True
L4_5,36.742805,9.696796,1.2878,True
L4_6,44.427615,12.265751,1.9186,True
L4_7,50.632924,13.980346,1.661,True
L4_9,45.425306,10.039627,1.729,True
L1_1,27.428398,7.008065,2.3133,True
L1_3,16.675605,5.730868,1.7543,True
L1_5,29.507501,5.862955,1.8329,True
L1_9,16.544195,3.307003,1.3732,True
L1_11,36.128736,9.023575,1.4448,True
L1_13,21.952787,6.036042,1.2171,True
L1_15,12.777073,4.805813,1.8177,True
L1_16,20.8032,6.406696,2.2183,True
L1_17,30.476897,7.885198,1.1808,True
L1_21,19.651387,3.114522,1.317,False
L1_27,13.794663,3.727783,2.1816,True
L1_28,25.090989,5.231387,2.3887,True
L1_30,16.564275,3.915395,1.8953,True
L1_32,29.110709,7.964687,1.4911,True
L1_34,25.890232,5.133495,1.9616,True
L1_36,18.584823,5.44605,1.2376,True
L1_40,16.960481,5.799215,1.3383,True
L2_3,21.518495,5.882906,2.4349,True
L2_4,23.52651,7.82748,2.4587,True
L2_7,27.305874,4.960669,1.1224,True
L2_12,26.245914,8.135142,1.5692,True
L2_14,28.109973,8.377344,1.0764,True
L2_17,36.624148,9.70026,1.2859,True
L2_18,23.059689,8.176896,1.2556,True
L4_2,36.348026,12.9437,1.2271,True
L4_4,29.800686,5.775583,1.9929,True
L4_6,34.96927,8.776025,2.4583,True
L4_8,27.476205,10.916575,2.2992,True
L4_9,45.835257,15.065826,1.5054,True
L1_1,22.979527,4.811001,1.5352,True
L1_4,16.493591,5.734322,1.8465,True
L1_5,26.317326,8.250715,2.1146,True
L1_7,16.209573,4.997126,2.491,True
L1_8,36.209336,8.13143,1.2872,True
L1_11,36.619048,7.976653,1.3776,True
L1_13,21.880516,6.103405,2.3514,True
L1_16,17.228666,8.84704,1.2829,True
L1_19,20.670574,6.948752,1.7001,True
L1_20,26.901507,5.673292,2.3612,True
L1_21,18.763503,3.18534,1.817,False
L1_22,16.607384,5.901991,1.9803,True
L1_23,22.153542,7.955197,1.5883,True
L1_24,20.694631,5.89169,2.3637,True
L1_26,35.622736,4.95853,2.2393,True
L1_27,19.376853,4.95524,2.2714,True
L1_28,21.169092,4.583266,2.3926,True
L1_30,12.926108,4.010944,1.5668,True
L1_33,19.558767,5.93476,1.0883,True
L1_35,21.389938,10.889992,2.1404,True
L1_36,13.085491,6.258158,1.626,True
L1_40,16.307256,8.865334,1.4803,True
L2_1,34.777789,5.18928,1.6658,True
L2_5,27.867422,9.137009,1.7979,True
L2_6,22.154716,4.943224,2.3666,True
L2_9,24.301835,7.982646,1.4783,True
L2_15,17.733082,5.347324,1.8159,True
L2_18,18.680051,7.908879,1.6024,True
L3_5,36.588691,10.293443,2.0852,True
L3_7,37.656675,8.882112,1.1655,True
L3_9,43.638276,13.175148,1.5624,True
L4_6,29.903491,12.039927,1.8767,True
