idx,x,y,series,label
1,0.194663,0.684686,passatk,passatk_1
2,0.766724,0.374512,passatk,passatk_2
3,0.393426,0.33286,passatk,passatk_3
4,0.512345,0.48794,passatk,passatk_4
5,0.359621,0.276715,passatk,passatk_5
6,0.151318,0.38789,passatk,passatk_6
7,0.157093,0.688503,passatk,passatk_7
8,0.505485,0.998984,passatk,passatk_8
9,0.6114,0.646715,passatk,passatk_9
10,0.7701,0.311995,passatk,passatk_10
11,0.057021,0.041893,passatk,passatk_11
12,0.898563,0.271224,passatk,passatk_12
13,0.694679,0.682925,passatk,passatk_13
14,0.647786,0.272258,passatk,passatk_14
15,0.197414,0.578947,passatk,passatk_15
16,0.436341,0.151625,passatk,passatk_16
17,0.85602,0.32831,passatk,passatk_17
18,0.35337,0.556983,passatk,passatk_18
19,0.54394,0.927343,passatk,passatk_19
20,0.792985,0.568812,passatk,passatk_20
21,0.568731,0.753425,passatk,passatk_21
22,0.842714,0.308088,passatk,passatk_22
23,0.854445,0.744817,passatk,passatk_23
24,0.242331,0.527506,passatk,passatk_24
25,0.937762,0.771398,passatk,passatk_25
26,0.046653,0.290022,passatk,passatk_26
27,0.220868,0.14729,passatk,passatk_27
28,0.087995,0.062037,passatk,passatk_28
29,0.04638,0.910894,passatk,passatk_29
30,0.189376,0.586738,passatk,passatk_30
