idx,x,y,series,label
1,1,1.769625,reward_curve,step_1
2,2,1.977714,reward_curve,step_2
3,3,2.224123,reward_curve,step_3
4,4,2.371298,reward_curve,step_4
5,5,2.467479,reward_curve,step_5
6,6,2.529149,reward_curve,step_6
7,7,2.615891,reward_curve,step_7
8,8,2.704291,reward_curve,step_8
9,9,2.922092,reward_curve,step_9
10,10,2.890827,reward_curve,step_10
11,11,3.037289,reward_curve,step_11
12,12,3.018219,reward_curve,step_12
13,13,3.023543,reward_curve,step_13
14,14,3.126699,reward_curve,step_14
15,15,3.08054,reward_curve,step_15
16,16,3.008326,reward_curve,step_16
17,17,3.052985,reward_curve,step_17
18,18,3.095747,reward_curve,step_18
19,19,3.174204,reward_curve,step_19
20,20,3.179497,reward_curve,step_20
21,21,3.097398,reward_curve,step_21
22,22,3.162659,reward_curve,step_22
23,23,3.217004,reward_curve,step_23
24,24,3.207379,reward_curve,step_24
25,25,3.327385,reward_curve,step_25
26,26,3.284422,reward_curve,step_26
27,27,3.262398,reward_curve,step_27
28,28,3.395835,reward_curve,step_28
29,29,3.362666,reward_curve,step_29
30,30,3.493911,reward_curve,step_30
