idx,x,y,series,label
1,0.069121,0.07741,runtime_joules,L1_1_s11
2,0.092099,0.109167,runtime_joules,L1_10_s11
3,0.093028,0.101408,runtime_joules,L1_11_s11
4,0.093875,0.106865,runtime_joules,L1_12_s11
5,0.083229,0.088468,runtime_joules,L1_13_s11
6,0.089931,0.107967,runtime_joules,L1_14_s11
7,0.102025,0.128113,runtime_joules,L1_15_s11
8,0.102682,0.127803,runtime_joules,L1_16_s11
9,0.11272,0.13725,runtime_joules,L1_17_s11
10,0.10247,0.137422,runtime_joules,L1_18_s11
11,0.106532,0.136254,runtime_joules,L1_19_s11
12,0.0757,0.086765,runtime_joules,L1_2_s11
13,0.112601,0.138729,runtime_joules,L1_20_s11
14,0.06743,0.066353,runtime_joules,L1_3_s11
15,0.070958,0.0757,runtime_joules,L1_4_s11
16,0.077392,0.083241,runtime_joules,L1_5_s11
17,0.068815,0.073646,runtime_joules,L1_6_s11
18,0.068223,0.069754,runtime_joules,L1_7_s11
19,0.081851,0.093586,runtime_joules,L1_8_s11
20,0.085082,0.1023,runtime_joules,L1_9_s11
21,0.075844,0.077802,runtime_joules,L1_1_s22
22,0.096199,0.10639,runtime_joules,L1_10_s22
23,0.09317,0.101546,runtime_joules,L1_11_s22
24,0.087127,0.093339,runtime_joules,L1_12_s22
25,0.09141,0.104094,runtime_joules,L1_13_s22
26,0.08932,0.092941,runtime_joules,L1_14_s22
27,0.118098,0.147359,runtime_joules,L1_15_s22
28,0.114847,0.146409,runtime_joules,L1_16_s22
29,0.120169,0.155581,runtime_joules,L1_17_s22
30,0.118384,0.146709,runtime_joules,L1_18_s22
