run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,stage,checkpoint
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_1,11,L1_1,1,1,0.134507,2656.60816,0.597144,274.138,0,10.4693,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_2,11,L1_2,1,1,0.197302,93.62325,0.449972,235.113,1,-0.22246,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_3,11,L1_3,1,1,0.020099,2297.93831,0.139847,303.055,0,2.26847,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_4,11,L1_4,1,1,0.067951,573.84721,0.547844,313.605,1,-1.063,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_5,11,L1_5,1,1,0.190376,1060.61584,0.436351,155.288,0,7.05459,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_6,11,L1_6,1,1,0.246074,1173.22077,0.078887,210.38,0,9.16821,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_7,11,L1_7,1,1,0.029359,288.0884,0.174827,129.1,0,6.3412,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_8,11,L1_8,1,1,0.031277,1578.46963,0.289088,87.327,0,10.23411,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_9,11,L1_9,0,0,0.213465,1449.77671,0.417451,296.607,0,4.39458,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_10,11,L1_10,1,1,0.206737,2652.76768,0.407479,121.841,0,3.02411,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_11,11,L1_11,1,1,0.174524,2159.14969,0.53758,315.969,0,3.38045,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_12,11,L1_12,1,0,0.158942,2176.50369,0.172549,241.249,0,7.31018,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_13,11,L1_13,1,1,0.054589,1889.70803,0.06857,152.427,0,4.20526,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_14,11,L1_14,1,1,0.200109,760.00085,0.172495,133.07,0,3.3239,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_15,11,L1_15,1,1,0.0761,619.64648,0.436472,235.483,0,-1.19184,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_16,11,L1_16,0,0,0.163786,5.63583,0.371524,272.308,0,11.12606,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_17,11,L1_17,1,0,0.061808,788.44877,0.018783,89.775,0,5.47717,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_18,11,L1_18,1,1,0.071379,2068.97725,0.068941,319.317,0,8.33895,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_19,11,L1_19,1,1,0.09146,2524.31518,0.494119,156.626,0,-0.14124,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed11::L1_20,11,L1_20,1,1,0.062705,1130.64927,0.070021,252.299,0,10.72277,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed11/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed22::L1_1,22,L1_1,1,1,0.12561,1580.39739,0.187194,90.912,0,0.85345,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed22/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed22::L1_2,22,L1_2,1,1,0.148219,1466.44034,0.624495,303.624,0,7.05731,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed22/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed22::L1_3,22,L1_3,1,1,0.045514,93.3961,0.188287,226.511,0,3.70146,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed22/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed22::L1_4,22,L1_4,1,1,0.058405,342.67067,0.017991,98.745,0,10.02552,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed22/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed22::L1_5,22,L1_5,0,0,0.180731,1160.88916,0.35435,240.244,0,10.26168,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed22/checkpoint.json
run::M1_GRPO_THROUGHPUT::throughput_rl::seed22::L1_6,22,L1_6,1,0,0.202791,1044.53504,0.278834,73.229,0,3.7264,kernel_grpo_throughput,checkpoints/exp/throughput_rl/m1_grpo_throughput/seed22/checkpoint.json
