idx,x,y,series,label
1,2.427121,0.51636,pareto,pareto_1
2,2.416615,0.431723,pareto,pareto_2
3,2.263601,0.415425,pareto,pareto_3
4,2.214777,0.354254,pareto,pareto_4
5,2.175363,0.333297,pareto,pareto_5
6,2.085129,0.346154,pareto,pareto_6
7,1.998211,0.393082,pareto,pareto_7
8,1.819149,0.404168,pareto,pareto_8
9,2.091658,0.426568,pareto,pareto_9
10,2.031864,0.427993,pareto,pareto_10
11,1.919478,0.439566,pareto,pareto_11
12,2.258856,0.440962,pareto,pareto_12
13,2.096148,0.448668,pareto,pareto_13
14,2.231428,0.44952,pareto,pareto_14
15,1.980764,0.450523,pareto,pareto_15
16,2.25252,0.45301,pareto,pareto_16
17,2.231582,0.455874,pareto,pareto_17
18,2.143109,0.458171,pareto,pareto_18
19,2.014784,0.461202,pareto,pareto_19
20,2.035122,0.479098,pareto,pareto_20
21,2.01969,0.480057,pareto,pareto_21
22,2.266948,0.489042,pareto,pareto_22
23,1.90859,0.493078,pareto,pareto_23
24,2.159335,0.498253,pareto,pareto_24
25,1.936588,0.498804,pareto,pareto_25
26,2.078973,0.503921,pareto,pareto_26
27,2.237849,0.504586,pareto,pareto_27
28,2.319022,0.508424,pareto,pareto_28
29,2.335723,0.509365,pareto,pareto_29
30,2.123259,0.515484,pareto,pareto_30
