idx,x,y,series,label
1,0.148843,0.968625,passatk,passatk_1
2,0.727443,0.648863,passatk,passatk_2
3,0.287741,0.486468,passatk,passatk_3
4,0.670355,0.508264,passatk,passatk_4
5,0.288462,0.629402,passatk,passatk_5
6,0.868118,0.263915,passatk,passatk_6
7,0.60367,0.449182,passatk,passatk_7
8,0.247151,0.071827,passatk,passatk_8
9,0.637653,0.040153,passatk,passatk_9
10,0.93625,0.165566,passatk,passatk_10
11,0.976896,0.572754,passatk,passatk_11
12,0.249594,0.944626,passatk,passatk_12
13,0.775279,0.046412,passatk,passatk_13
14,0.687896,0.086729,passatk,passatk_14
15,0.953599,0.574485,passatk,passatk_15
16,0.273534,0.97221,passatk,passatk_16
17,0.742435,0.599034,passatk,passatk_17
18,0.579417,0.764903,passatk,passatk_18
19,0.684387,0.99887,passatk,passatk_19
20,0.601906,0.499652,passatk,passatk_20
21,0.719828,0.409865,passatk,passatk_21
22,0.801936,0.04083,passatk,passatk_22
23,0.362508,0.959842,passatk,passatk_23
24,0.017871,0.034074,passatk,passatk_24
25,0.120439,0.341679,passatk,passatk_25
26,0.754019,0.807107,passatk,passatk_26
27,0.310582,0.190316,passatk,passatk_27
28,0.197548,0.839076,passatk,passatk_28
29,0.80684,0.630832,passatk,passatk_29
30,0.410113,0.501775,passatk,passatk_30
