idx,x,y,series,label
1,1,6.452752,reward_curve,step_1
2,2,6.603885,reward_curve,step_2
3,3,6.749881,reward_curve,step_3
4,4,6.851765,reward_curve,step_4
5,5,6.965835,reward_curve,step_5
6,6,7.096182,reward_curve,step_6
7,7,7.182349,reward_curve,step_7
8,8,7.217679,reward_curve,step_8
9,9,7.33835,reward_curve,step_9
10,10,7.404839,reward_curve,step_10
11,11,7.401132,reward_curve,step_11
12,12,7.419012,reward_curve,step_12
13,13,7.496359,reward_curve,step_13
14,14,7.484375,reward_curve,step_14
15,15,7.49426,reward_curve,step_15
16,16,7.516934,reward_curve,step_16
17,17,7.561456,reward_curve,step_17
18,18,7.62266,reward_curve,step_18
19,19,7.591985,reward_curve,step_19
20,20,7.700436,reward_curve,step_20
21,21,7.642063,reward_curve,step_21
22,22,7.698018,reward_curve,step_22
23,23,7.764268,reward_curve,step_23
24,24,7.766694,reward_curve,step_24
25,25,7.889396,reward_curve,step_25
26,26,7.848139,reward_curve,step_26
27,27,7.865108,reward_curve,step_27
28,28,7.962699,reward_curve,step_28
29,29,7.916314,reward_curve,step_29
30,30,8.055999,reward_curve,step_30
