task_id,seed,runtime_ms,joules,correct
L1_1,11,23.293916,5.085604,False
L1_2,11,29.503595,11.207731,True
L1_3,11,12.725567,4.762645,True
L1_4,11,20.182058,8.552767,True
L1_5,11,23.932377,6.273286,True
L1_6,11,17.446264,3.820679,True
L1_7,11,19.777346,5.617866,True
L1_8,11,31.544151,9.431098,False
L1_9,11,11.75573,3.06612,True
L1_10,11,15.523054,5.151864,True
L1_12,11,17.429177,3.356648,True
L1_13,11,19.864849,8.007528,False
L1_14,11,28.126087,9.923949,True
L1_15,11,18.657196,5.077016,True
L1_16,11,26.794521,5.494178,True
L1_17,11,31.309442,8.321125,False
L1_18,11,17.016383,4.791147,False
L1_19,11,21.420235,8.60658,False
L1_21,11,14.620215,6.259299,False
L1_22,11,22.533921,8.736893,True
L1_23,11,21.207151,11.4397,True
L1_24,11,18.074084,6.799179,True
L1_25,11,20.461654,6.248115,True
L1_26,11,28.738086,8.33743,True
L1_28,11,20.380787,4.278454,True
L1_29,11,18.887815,10.921793,True
L1_30,11,14.878598,6.533248,False
L1_31,11,25.92961,4.587115,True
L1_32,11,23.117795,6.212951,True
L1_33,11,18.380588,3.523359,True
L1_34,11,26.3282,5.439934,True
L1_35,11,24.699475,7.386058,False
L1_36,11,11.797939,5.435141,True
L1_37,11,21.887268,4.897445,True
L1_39,11,10.946042,6.31289,False
L1_40,11,26.639299,8.60994,True
L2_1,11,20.281234,10.392702,False
L2_3,11,19.218637,5.317578,False
L2_5,11,25.987837,7.280309,False
L2_7,11,24.226036,5.317366,True
L2_8,11,37.700108,10.364439,False
L2_9,11,18.790948,4.487463,True
L2_12,11,25.961118,8.365947,True
L2_13,11,32.833374,10.362297,True
L2_14,11,23.545274,12.805757,False
L2_16,11,29.46638,6.947535,True
L2_17,11,30.245368,11.533672,True
L2_18,11,19.463776,4.131709,False
L2_19,11,32.040466,5.475524,False
L2_20,11,37.257523,12.224307,True
L3_1,11,32.91957,8.097289,True
L3_2,11,19.995868,9.349659,False
L3_3,11,36.109395,9.427126,True
L3_5,11,24.971039,6.936233,True
L3_6,11,28.798777,5.461317,True
L3_7,11,33.019055,7.549976,True
L3_8,11,32.74228,11.127208,True
L3_9,11,34.189303,14.310318,False
L4_1,11,32.841241,7.967254,False
L4_2,11,24.483926,6.2099,False
L4_3,11,26.8249,14.499416,False
L4_5,11,37.124559,15.176148,True
L4_6,11,28.788603,13.81401,False
L4_7,11,41.217884,9.300234,True
L4_9,11,31.555607,11.354303,True
L1_1,22,21.15727,6.829409,True
L1_3,22,15.794107,2.80023,True
L1_4,22,18.894094,8.766833,False
L1_5,22,23.148278,11.189408,False
L1_6,22,10.657603,5.616314,True
L1_8,22,23.441548,5.142788,True
L1_9,22,12.318682,4.180194,True
L1_10,22,22.022506,5.002384,False
L1_11,22,26.351982,6.507774,False
L1_12,22,12.762309,3.341887,True
