task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,16.097774,5.53593,230.341,17.483104,1.0861,-0.77308
L1_2,1,3,11,True,False,32.285514,5.22891,224.652,32.285514,0.0,-0.5
L1_3,1,1,11,True,True,17.56918,4.242913,230.049,23.313813,1.327,-0.43973
L1_4,1,2,11,False,False,,,,25.723729,0.0,-1.0
L1_5,1,3,11,True,True,34.179172,5.147041,222.418,65.521677,1.917,-0.16845
L1_6,1,1,11,True,True,17.703909,5.403828,243.949,21.199711,1.1975,-0.66335
L1_7,1,2,11,False,False,,,,26.642428,0.0,-1.0
L1_8,1,3,11,True,False,23.787388,6.57895,252.753,23.787388,0.0,-0.5
L1_9,1,1,11,True,True,17.134019,5.032367,197.48,33.376668,1.948,-0.14115
L1_10,1,2,11,True,True,16.831453,7.822657,247.15,25.57054,1.5192,-0.61032
L1_11,1,3,11,True,True,21.78209,5.73106,243.072,37.068033,1.7018,-0.34128
L1_12,1,1,11,False,False,,,,14.998086,0.0,-1.0
L1_13,1,2,11,True,False,17.583842,4.077461,251.83,17.583842,0.0,-0.5
L1_14,1,3,11,True,False,23.54116,6.30378,238.808,23.54116,0.0,-0.5
L1_15,1,1,11,True,False,15.978798,5.490195,262.251,15.978798,0.0,-0.5
L1_16,1,2,11,False,False,,,,18.537394,0.0,-1.0
L1_17,1,3,11,True,True,31.608931,4.424834,206.291,34.53881,1.0927,-0.65497
L1_18,1,1,11,True,False,15.659345,5.296312,240.858,15.659345,0.0,-0.5
L1_19,1,2,11,False,False,,,,21.757832,0.0,-1.0
L1_20,1,3,11,True,False,33.060484,6.238922,199.559,33.060484,0.0,-0.5
L1_21,1,1,11,True,True,15.146547,3.416665,250.759,27.655365,1.8259,-0.01229
L1_22,1,2,11,True,True,16.246014,7.379849,216.239,27.457428,1.6901,-0.47459
L1_23,1,3,11,True,False,24.933984,5.780148,228.736,24.933984,0.0,-0.5
L1_24,1,1,11,False,False,,,,11.252374,0.0,-1.0
L1_25,1,2,11,True,False,18.778152,6.561523,210.602,18.778152,0.0,-0.5
L1_26,1,3,11,False,False,,,,31.096548,0.0,-1.0
L1_27,1,1,11,True,False,14.644061,3.20006,235.638,14.644061,0.0,-0.5
L1_28,1,2,11,True,False,15.189786,6.751438,253.308,15.189786,0.0,-0.5
L1_29,1,3,11,True,False,30.460159,5.724009,264.479,30.460159,0.0,-0.5
L1_30,1,1,11,True,True,18.213544,2.90222,250.664,37.579139,2.0633,0.19155
L1_31,1,2,11,True,False,26.595523,5.447039,199.096,26.595523,0.0,-0.5
L1_32,1,3,11,True,True,28.227256,4.451158,234.795,69.437492,2.4599,0.15356
L1_33,1,1,11,True,True,17.31766,3.233538,221.89,26.70766,1.5422,-0.15356
L1_34,1,2,11,True,True,24.125925,4.748861,216.05,28.597026,1.1853,-0.60894
L1_35,1,3,11,True,False,29.131726,5.713097,261.567,29.131726,0.0,-0.5
L1_36,1,1,11,True,True,17.105716,5.45141,234.214,32.694833,1.9113,-0.20013
L1_37,1,2,11,True,False,17.784645,7.756379,243.544,17.784645,0.0,-0.5
L1_38,1,3,11,True,False,21.120673,6.413091,212.145,21.120673,0.0,-0.5
L1_39,1,1,11,True,True,17.831131,3.467317,220.076,24.531317,1.3758,-0.30269
L1_40,1,2,11,True,False,15.036212,7.890353,247.753,15.036212,0.0,-0.5
L2_1,2,3,11,True,True,24.689362,9.592685,251.587,42.424302,1.7183,-0.58915
L2_2,2,4,11,False,False,,,,39.642753,0.0,-1.0
L2_3,2,2,11,True,False,21.913459,4.071826,212.645,21.913459,0.0,-0.5
L2_4,2,3,11,False,False,,,,34.043818,0.0,-1.0
L2_5,2,4,11,True,True,38.198771,10.815246,254.901,60.591968,1.5862,-0.72912
L2_6,2,2,11,True,True,21.791672,6.427285,225.474,48.09241,2.2069,-0.13868
L2_7,2,3,11,True,False,26.761883,7.675143,209.833,26.761883,0.0,-0.5
L2_8,2,4,11,True,False,41.507299,10.066802,244.685,41.507299,0.0,-0.5
L2_9,2,2,11,True,True,17.349692,7.044653,233.38,26.95155,1.5534,-0.53567
L2_10,2,3,11,True,True,19.070894,6.473323,256.037,26.49307,1.3892,-0.60512
L2_11,2,4,11,True,False,27.396388,8.577267,260.027,27.396388,0.0,-0.5
L2_12,2,2,11,True,True,22.977888,4.694915,211.119,57.167334,2.4879,0.13821
L2_13,2,3,11,False,False,,,,33.026335,0.0,-1.0
L2_14,2,4,11,True,False,35.863548,6.113295,228.972,35.863548,0.0,-0.5
L2_15,2,2,11,True,True,19.038316,4.055456,201.481,40.146919,2.1087,0.04606
L2_16,2,3,11,True,True,24.783057,6.698063,255.387,47.273737,1.9075,-0.30511
L2_17,2,4,11,True,False,42.837402,10.743832,253.038,42.837402,0.0,-0.5
L2_18,2,2,11,True,True,21.005826,4.664202,213.91,42.798132,2.0374,-0.05826
L2_19,2,3,11,True,True,34.809235,5.778143,202.702,79.187609,2.2749,-0.0551
L2_20,2,4,11,True,False,40.470929,6.903405,206.2,40.470929,0.0,-0.5
L3_1,3,4,11,True,False,28.801961,10.495897,221.205,28.801961,0.0,-0.5
L3_2,3,3,11,True,False,33.76182,9.482159,206.023,33.76182,0.0,-0.5
L3_3,3,4,11,True,False,31.972037,7.187243,253.759,31.972037,0.0,-0.5
L3_4,3,3,11,True,False,22.126131,7.933564,253.738,22.126131,0.0,-0.5
L3_5,3,4,11,False,False,,,,39.044204,0.0,-1.0
L3_6,3,3,11,True,False,19.512547,5.766384,229.655,19.512547,0.0,-0.5
L3_7,3,4,11,False,False,,,,37.727739,0.0,-1.0
L3_8,3,3,11,True,True,21.472328,6.914026,212.135,40.520273,1.8871,-0.33174
L3_9,3,4,11,True,True,35.435455,10.963388,212.612,79.017621,2.2299,-0.39532
L3_10,3,3,11,True,False,26.304927,9.031056,214.572,26.304927,0.0,-0.5
L4_1,4,5,11,True,True,32.860083,9.605455,228.095,57.750795,1.7575,-0.56729
L4_2,4,4,11,True,False,35.797664,11.704169,259.019,35.797664,0.0,-0.5
L4_3,4,5,11,True,False,32.043622,11.225596,218.9,32.043622,0.0,-0.5
L4_4,4,4,11,False,False,,,,38.045442,0.0,-1.0
L4_5,4,5,11,True,True,47.299535,10.995976,247.415,71.573027,1.5132,-0.78455
L4_6,4,4,11,False,False,,,,40.914092,0.0,-1.0
L4_7,4,5,11,True,True,44.02544,7.492686,211.899,53.764125,1.2212,-0.80712
L4_8,4,4,11,False,False,,,,41.096473,0.0,-1.0
L4_9,4,5,11,False,False,,,,31.417105,0.0,-1.0
L1_1,1,2,22,True,True,16.508244,4.879846,226.346,23.60919,1.4301,-0.43478
L1_2,1,3,22,True,False,18.498251,9.153211,262.295,18.498251,0.0,-0.5
L1_3,1,1,22,False,False,,,,19.315064,0.0,-1.0
L1_4,1,2,22,True,True,20.871805,7.141648,208.014,23.962881,1.1481,-0.84486
L1_5,1,3,22,True,True,33.390653,4.446609,224.904,48.485626,1.4521,-0.37308
L1_6,1,1,22,True,True,16.619124,3.542666,246.029,19.441501,1.1698,-0.47558
L1_7,1,2,22,True,True,19.510809,6.552308,197.31,24.62054,1.2619,-0.7073
L1_8,1,3,22,True,True,19.808136,7.326329,257.678,30.036528,1.5164,-0.57942
L1_9,1,1,22,True,False,17.183863,2.827475,219.232,17.183863,0.0,-0.5
L1_10,1,2,22,True,True,25.749869,4.209367,230.359,59.744627,2.3202,0.12299
L1_11,1,3,22,True,True,27.1191,6.646799,196.797,49.456689,1.8237,-0.34621
L1_12,1,1,22,True,False,12.708671,4.029339,210.711,12.708671,0.0,-0.5
L1_13,1,2,22,True,True,22.723201,4.668515,231.652,51.988708,2.2879,0.05722
L1_14,1,3,22,True,True,26.257987,5.333714,257.122,50.247873,1.9136,-0.18803
L1_15,1,1,22,True,True,11.950618,4.521796,255.701,18.014485,1.5074,-0.34406
