task_id,runtime_ms,joules,speedup,dominated
L1_1,16.097774,5.53593,1.0861,True
L1_3,17.56918,4.242913,1.327,True
L1_5,34.179172,5.147041,1.917,True
L1_6,17.703909,5.403828,1.1975,True
L1_9,17.134019,5.032367,1.948,True
L1_10,16.831453,7.822657,1.5192,True
L1_11,21.78209,5.73106,1.7018,True
L1_17,31.608931,4.424834,1.0927,True
L1_21,15.146547,3.416665,1.8259,True
L1_22,16.246014,7.379849,1.6901,True
L1_30,18.213544,2.90222,2.0633,True
L1_32,28.227256,4.451158,2.4599,True
L1_33,17.31766,3.233538,1.5422,True
L1_34,24.125925,4.748861,1.1853,True
L1_36,17.105716,5.45141,1.9113,True
L1_39,17.831131,3.467317,1.3758,True
L2_1,24.689362,9.592685,1.7183,True
L2_5,38.198771,10.815246,1.5862,True
L2_6,21.791672,6.427285,2.2069,True
L2_9,17.349692,7.044653,1.5534,True
L2_10,19.070894,6.473323,1.3892,True
L2_12,22.977888,4.694915,2.4879,True
L2_15,19.038316,4.055456,2.1087,True
L2_16,24.783057,6.698063,1.9075,True
L2_18,21.005826,4.664202,2.0374,True
L2_19,34.809235,5.778143,2.2749,True
L3_8,21.472328,6.914026,1.8871,True
L3_9,35.435455,10.963388,2.2299,True
L4_1,32.860083,9.605455,1.7575,True
L4_5,47.299535,10.995976,1.5132,True
L4_7,44.02544,7.492686,1.2212,True
L1_1,16.508244,4.879846,1.4301,True
L1_4,20.871805,7.141648,1.1481,True
L1_5,33.390653,4.446609,1.4521,True
L1_6,16.619124,3.542666,1.1698,True
L1_7,19.510809,6.552308,1.2619,True
L1_8,19.808136,7.326329,1.5164,True
L1_10,25.749869,4.209367,2.3202,True
L1_11,27.1191,6.646799,1.8237,True
L1_13,22.723201,4.668515,2.2879,True
L1_14,26.257987,5.333714,1.9136,True
L1_15,11.950618,4.521796,1.5074,False
L1_16,20.968159,7.061129,1.9222,True
L1_17,33.426788,9.172981,1.3067,True
L1_19,15.687607,5.070709,1.6131,True
L1_20,30.302742,8.895323,1.7194,True
L1_21,12.022953,2.350929,1.333,False
L1_22,17.91494,6.391628,1.9224,True
L1_27,18.718648,5.165994,1.146,True
L1_28,26.470983,4.63422,1.2564,True
L1_30,17.395428,3.385086,1.9388,True
L1_33,15.265027,5.399845,1.9845,True
L1_34,19.854485,3.582843,1.3588,True
L1_35,31.680084,6.107503,2.3233,True
L1_36,13.694374,3.04709,1.7983,True
L1_37,19.778076,6.669009,1.6887,True
L1_38,20.12729,6.009279,2.3914,True
L1_39,18.926436,5.308717,2.2083,True
L1_40,26.462196,7.288863,2.4335,True
L2_1,24.485793,8.242801,2.1326,True
L2_4,19.104958,6.974128,2.3957,True
L2_5,26.104885,9.249769,2.4768,True
L2_6,16.365916,4.086089,1.6471,True
L2_7,25.305179,7.216898,1.6674,True
L2_9,15.558107,7.415037,2.415,True
L2_12,20.849685,5.68319,1.3337,True
L2_13,24.699248,8.331008,1.3254,True
L2_14,40.102716,9.124446,2.332,True
L2_15,14.806744,4.088331,2.1024,True
L2_16,23.67563,7.180805,2.0035,True
L2_18,19.268657,4.770988,1.7177,True
L3_3,22.89897,6.891665,1.2846,True
L3_4,29.149026,7.803611,1.7358,True
L3_5,29.260223,6.033811,2.1028,True
L3_9,33.112515,5.929545,2.281,True
L4_1,29.452477,11.055381,1.2579,True
L4_2,24.140593,10.32958,2.1926,True
L4_3,31.089277,11.477079,1.4648,True
L4_4,25.729639,5.005698,1.155,True
L4_6,23.045206,8.446292,2.0873,True
L4_7,41.656887,10.498709,2.4139,True
L4_8,40.188648,11.079746,2.0107,True
L1_1,26.415852,4.136032,1.1477,True
L1_5,20.217779,6.401675,2.1253,True
L1_7,19.65448,6.389323,1.9232,True
L1_8,30.257948,5.853669,1.872,True
L1_9,12.970085,5.303652,2.3767,True
L1_10,18.821891,3.621997,1.2061,True
L1_11,24.102765,7.386989,1.283,True
L1_13,25.302554,5.115561,1.0889,True
L1_21,16.272371,4.624299,1.5728,True
L1_28,23.868208,5.311697,1.1757,True
L1_30,18.940108,4.690898,1.7165,True
L1_31,22.250362,5.6172,1.7502,True
L1_32,32.376044,8.061108,1.3477,True
L1_34,23.794944,4.1157,1.7659,True
L1_37,17.627494,7.074526,1.4597,True
L1_39,14.421378,2.826655,1.1173,True
L1_40,18.560136,4.557037,1.2489,True
L2_1,24.01281,8.555819,2.0461,True
L2_3,23.124702,5.81685,1.4461,True
L2_4,20.257216,4.198376,2.0717,True
L2_7,28.511965,7.102389,1.5007,True
L2_8,30.842718,6.348437,1.5493,True
L2_12,21.470522,6.512836,1.4618,True
L2_15,19.55658,4.981505,2.4042,True
L2_16,30.085144,7.275872,1.3521,True
L2_17,29.102356,7.056139,1.3634,True
L3_4,30.38063,4.446061,1.7451,True
L3_10,30.139221,9.100374,1.3434,True
L4_1,42.163128,6.753679,1.0777,True
L4_2,33.749275,7.55782,1.2356,True
L4_4,33.316248,9.672872,1.942,True
L4_6,34.351147,7.451363,2.3224,True
L4_8,24.35931,9.589282,2.2763,True
L4_9,38.227716,7.261559,1.8769,True
