idx,x,y,series,label
1,0.325652,0.140699,passatk,passatk_1
2,0.146091,0.014994,passatk,passatk_2
3,0.930814,0.063385,passatk,passatk_3
4,0.085606,0.090691,passatk,passatk_4
5,0.699876,0.460693,passatk,passatk_5
6,0.368348,0.653036,passatk,passatk_6
7,0.966872,0.579882,passatk,passatk_7
8,0.616952,0.437408,passatk,passatk_8
9,0.552315,0.549604,passatk,passatk_9
10,0.219395,0.072087,passatk,passatk_10
11,0.903797,0.975312,passatk,passatk_11
12,0.888082,0.583475,passatk,passatk_12
13,0.338879,0.775012,passatk,passatk_13
14,0.535733,0.944135,passatk,passatk_14
15,0.367459,0.828475,passatk,passatk_15
16,0.325501,0.260386,passatk,passatk_16
17,0.253896,0.375289,passatk,passatk_17
18,0.761498,0.427813,passatk,passatk_18
19,0.277808,0.053887,passatk,passatk_19
20,0.085418,0.823078,passatk,passatk_20
21,0.030905,0.301916,passatk,passatk_21
22,0.872704,0.881705,passatk,passatk_22
23,0.82752,0.723022,passatk,passatk_23
24,0.90118,0.023532,passatk,passatk_24
25,0.394866,0.04178,passatk,passatk_25
26,0.98527,0.446179,passatk,passatk_26
27,0.580417,0.125845,passatk,passatk_27
28,0.130969,0.16629,passatk,passatk_28
29,0.03347,0.707929,passatk,passatk_29
30,0.927363,0.916657,passatk,passatk_30
