idx,x,y,series,label
1,0.599062,0.822522,runtime_joules,runtime_joules_1
2,0.348157,0.425671,runtime_joules,runtime_joules_2
3,0.861263,0.279722,runtime_joules,runtime_joules_3
4,0.049244,0.890689,runtime_joules,runtime_joules_4
5,0.464765,0.751279,runtime_joules,runtime_joules_5
6,0.103303,0.420749,runtime_joules,runtime_joules_6
7,0.1288,0.673034,runtime_joules,runtime_joules_7
8,0.357431,0.877724,runtime_joules,runtime_joules_8
9,0.667122,0.843279,runtime_joules,runtime_joules_9
10,0.814171,0.162188,runtime_joules,runtime_joules_10
11,0.215382,0.919508,runtime_joules,runtime_joules_11
12,0.763595,0.772035,runtime_joules,runtime_joules_12
13,0.679684,0.144237,runtime_joules,runtime_joules_13
14,0.580579,0.173894,runtime_joules,runtime_joules_14
15,0.369548,0.471705,runtime_joules,runtime_joules_15
16,0.741346,0.265641,runtime_joules,runtime_joules_16
17,0.766156,0.78521,runtime_joules,runtime_joules_17
18,0.979907,0.773077,runtime_joules,runtime_joules_18
19,0.487404,0.463552,runtime_joules,runtime_joules_19
20,0.970036,0.177474,runtime_joules,runtime_joules_20
21,0.732758,0.068985,runtime_joules,runtime_joules_21
22,0.390794,0.864261,runtime_joules,runtime_joules_22
23,0.13125,0.936246,runtime_joules,runtime_joules_23
24,0.475037,0.791743,runtime_joules,runtime_joules_24
25,0.723446,0.212323,runtime_joules,runtime_joules_25
26,0.11308,0.887237,runtime_joules,runtime_joules_26
27,0.704335,0.739401,runtime_joules,runtime_joules_27
28,0.501971,0.396406,runtime_joules,runtime_joules_28
29,0.93588,0.016672,runtime_joules,runtime_joules_29
30,0.610675,0.929312,runtime_joules,runtime_joules_30
