task_id,runtime_ms,joules,speedup,dominated
L1_1,15.595075,7.16825,1.4641,True
L1_3,12.369324,2.814093,2.3919,False
L1_6,18.354098,4.565755,2.314,True
L1_7,19.751287,4.105446,1.1647,True
L1_9,17.164907,6.15175,2.1571,True
L1_13,20.163059,6.587184,1.6413,True
L1_15,17.284603,2.73728,1.4084,False
L1_16,20.424071,6.645998,1.11,True
L1_17,29.074217,7.350517,1.7092,True
L1_19,24.373069,4.1162,2.1459,True
L1_21,18.728212,5.926352,1.9729,True
L1_22,26.737009,7.525039,1.3636,True
L1_23,30.480451,8.83907,1.6123,True
L1_24,15.351738,5.806507,1.8566,True
L1_25,24.573301,3.691596,1.4634,True
L1_28,19.615437,5.615324,1.1848,True
L1_31,21.000813,4.802575,1.1587,True
L1_32,22.548011,8.934392,2.2333,True
L1_34,19.709629,5.306463,2.0582,True
L1_38,28.273264,10.228765,1.8414,True
L1_40,26.501122,8.081908,1.6467,True
L2_3,23.574513,6.872773,1.5822,True
L2_4,23.454971,7.981718,1.6686,True
L2_14,25.019517,8.912142,2.3589,True
L2_17,43.001185,9.868215,1.3531,True
L2_18,19.697498,8.199528,2.0564,True
L2_20,29.857687,8.235307,2.4293,True
L3_1,40.146159,7.467393,1.6984,True
L3_2,20.83235,4.775434,2.184,True
L3_3,24.635525,12.476227,2.4619,True
L3_5,37.334702,9.38267,2.3315,True
L3_6,21.52718,6.359987,1.8548,True
L3_8,19.984355,8.940398,2.4027,True
L4_2,35.008789,7.422343,1.5835,True
L4_5,37.071108,15.503033,1.487,True
L4_7,47.602795,8.036868,1.5016,True
L1_1,25.933034,7.390697,2.0062,True
L1_4,23.881651,4.796032,1.2348,True
L1_7,19.964027,7.511114,1.6462,True
L1_9,14.249392,5.146534,2.2459,True
L1_10,20.983651,4.09287,1.2002,True
L1_13,21.862459,6.165216,1.5075,True
L1_15,17.555868,2.825198,1.2676,True
L1_20,25.968393,8.315577,2.032,True
L1_23,33.047844,4.842173,2.3798,True
L1_27,15.844635,5.391903,2.3466,True
L1_28,19.960705,3.96243,2.2942,True
L1_29,29.53225,9.394878,1.5866,True
L1_31,26.656901,7.31215,1.3196,True
L1_33,12.382565,3.019346,1.2394,True
L1_34,25.835872,5.698907,2.3892,True
L1_36,14.577226,4.537253,1.1008,True
L1_40,22.314109,3.638634,1.0679,True
L2_1,22.278913,9.228788,2.2378,True
L2_3,24.414248,4.959844,2.451,True
L2_11,36.61801,6.221736,2.165,True
L2_12,16.585287,7.335859,1.7104,True
L3_1,27.883624,11.279893,1.576,True
L3_10,29.179978,9.610135,2.1529,True
L4_1,44.913446,10.424423,1.7401,True
L4_5,41.347813,10.745798,2.4579,True
L1_3,11.565964,5.483821,2.4355,True
L1_4,20.31497,6.175472,1.284,True
L1_6,16.426068,3.707265,1.1207,True
L1_7,17.845869,6.108055,1.5531,True
L1_9,13.464304,3.487382,1.13,True
L1_10,18.558269,7.476081,2.0627,True
L1_14,18.959052,5.779687,1.5745,True
L1_15,14.121727,5.539241,1.335,True
L1_16,24.154911,4.696216,1.6107,True
L1_19,22.774817,7.034998,1.1063,True
L1_20,23.445871,9.854581,1.6285,True
L1_22,17.739365,4.957985,1.6598,True
L1_23,27.076061,5.300886,1.6845,True
L1_24,17.880721,2.873043,1.2193,True
L1_27,10.463647,4.720274,1.3692,False
L1_28,18.879622,5.500002,1.9944,True
L1_29,20.625369,9.72261,2.0866,True
L1_30,17.226042,3.783795,1.5139,True
L1_31,18.166613,8.107543,2.1403,True
L1_34,19.978916,4.019342,1.8962,True
L1_37,18.100047,6.810827,1.5909,True
L1_38,28.741256,6.755559,1.3857,True
L1_39,15.621522,3.631793,2.3095,True
L1_40,21.842053,6.941162,2.2608,True
L2_1,24.268978,8.177238,1.277,True
L2_3,23.290035,8.113632,2.1005,True
L2_5,35.073645,12.436154,1.1897,True
L2_6,17.555313,7.564311,2.1394,True
L2_7,19.358548,7.086422,1.3783,True
L2_8,32.210694,6.840541,2.1787,True
L2_11,22.440579,7.809913,1.6039,True
L2_12,17.643294,6.641703,1.3767,True
L2_18,15.903374,3.644482,1.6221,True
L2_19,24.152398,8.777538,2.4491,True
L3_3,31.998778,9.734286,1.3807,True
L4_2,35.448202,8.883015,2.0497,True
L4_5,42.898289,12.267292,2.3564,True
L4_6,33.297916,11.779727,2.4884,True
L4_7,27.154826,13.072412,1.8804,True
