idx,x,y,series,label
1,1,0.664915,passatk,turn_1_pt_1
2,2,0.731654,passatk,turn_2_pt_2
3,3,0.782041,passatk,turn_3_pt_3
4,4,0.822792,passatk,turn_4_pt_4
5,5,0.849114,passatk,turn_5_pt_5
6,1,0.654316,passatk,turn_1_pt_6
7,2,0.726482,passatk,turn_2_pt_7
8,3,0.782041,passatk,turn_3_pt_8
9,4,0.828139,passatk,turn_4_pt_9
10,5,0.851084,passatk,turn_5_pt_10
11,1,0.658576,passatk,turn_1_pt_11
12,2,0.730067,passatk,turn_2_pt_12
13,3,0.777276,passatk,turn_3_pt_13
14,4,0.817426,passatk,turn_4_pt_14
15,5,0.850002,passatk,turn_5_pt_15
16,1,0.660005,passatk,turn_1_pt_16
17,2,0.726182,passatk,turn_2_pt_17
18,3,0.780086,passatk,turn_3_pt_18
19,4,0.828228,passatk,turn_4_pt_19
20,5,0.845121,passatk,turn_5_pt_20
21,1,0.658017,passatk,turn_1_pt_21
22,2,0.728292,passatk,turn_2_pt_22
23,3,0.776145,passatk,turn_3_pt_23
24,4,0.827033,passatk,turn_4_pt_24
25,5,0.846208,passatk,turn_5_pt_25
26,1,0.656958,passatk,turn_1_pt_26
27,2,0.732739,passatk,turn_2_pt_27
28,3,0.779644,passatk,turn_3_pt_28
29,4,0.820009,passatk,turn_4_pt_29
30,5,0.853613,passatk,turn_5_pt_30
