idx,x,y,series,label
1,1,6.098548,reward_curve,step_1
2,2,6.32412,reward_curve,step_2
3,3,6.456919,reward_curve,step_3
4,4,6.56797,reward_curve,step_4
5,5,6.67859,reward_curve,step_5
6,6,6.809426,reward_curve,step_6
7,7,6.889759,reward_curve,step_7
8,8,6.993248,reward_curve,step_8
9,9,7.051512,reward_curve,step_9
10,10,7.121953,reward_curve,step_10
11,11,7.121715,reward_curve,step_11
12,12,7.138581,reward_curve,step_12
13,13,7.240365,reward_curve,step_13
14,14,7.139306,reward_curve,step_14
15,15,7.207802,reward_curve,step_15
16,16,7.251649,reward_curve,step_16
17,17,7.268648,reward_curve,step_17
18,18,7.348737,reward_curve,step_18
19,19,7.359656,reward_curve,step_19
20,20,7.297593,reward_curve,step_20
21,21,7.435259,reward_curve,step_21
22,22,7.379997,reward_curve,step_22
23,23,7.439596,reward_curve,step_23
24,24,7.494191,reward_curve,step_24
25,25,7.474553,reward_curve,step_25
26,26,7.565483,reward_curve,step_26
27,27,7.56296,reward_curve,step_27
28,28,7.670735,reward_curve,step_28
29,29,7.659472,reward_curve,step_29
30,30,7.700902,reward_curve,step_30
