task_id,seed,runtime_ms,joules,correct
L1_1,11,15.595075,7.16825,True
L1_2,11,19.852001,5.028669,False
L1_3,11,12.369324,2.814093,True
L1_4,11,16.003049,6.230433,False
L1_5,11,31.20448,6.969741,False
L1_6,11,18.354098,4.565755,True
L1_7,11,19.751287,4.105446,True
L1_8,11,29.790402,9.220737,False
L1_9,11,17.164907,6.15175,True
L1_10,11,23.480976,6.845739,False
L1_12,11,13.474125,5.937813,False
L1_13,11,20.163059,6.587184,True
L1_15,11,17.284603,2.73728,True
L1_16,11,20.424071,6.645998,True
L1_17,11,29.074217,7.350517,True
L1_18,11,16.65358,2.964107,False
L1_19,11,24.373069,4.1162,True
L1_20,11,31.379126,8.994498,False
L1_21,11,18.728212,5.926352,True
L1_22,11,26.737009,7.525039,True
L1_23,11,30.480451,8.83907,True
L1_24,11,15.351738,5.806507,True
L1_25,11,24.573301,3.691596,True
L1_28,11,19.615437,5.615324,True
L1_29,11,20.8554,10.673805,False
L1_30,11,20.254594,5.64546,False
L1_31,11,21.000813,4.802575,True
L1_32,11,22.548011,8.934392,True
L1_34,11,19.709629,5.306463,True
L1_35,11,31.118937,5.073323,False
L1_37,11,23.834942,8.052988,False
L1_38,11,28.273264,10.228765,True
L1_39,11,11.127196,5.629282,False
L1_40,11,26.501122,8.081908,True
L2_1,11,27.822938,8.601115,False
L2_2,11,25.979895,10.73156,False
L2_3,11,23.574513,6.872773,True
L2_4,11,23.454971,7.981718,True
L2_5,11,28.304054,8.390304,False
L2_6,11,20.936497,5.820005,False
L2_7,11,35.225132,8.762284,False
L2_8,11,30.526783,12.85439,False
L2_9,11,23.985833,6.399955,False
L2_10,11,19.884486,7.98969,False
L2_12,11,17.710624,8.325761,False
L2_13,11,21.66927,4.795965,False
L2_14,11,25.019517,8.912142,True
L2_15,11,17.633103,6.942628,False
L2_16,11,27.920054,9.510464,False
L2_17,11,43.001185,9.868215,True
L2_18,11,19.697498,8.199528,True
L2_20,11,29.857687,8.235307,True
L3_1,11,40.146159,7.467393,True
L3_2,11,20.83235,4.775434,True
