task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,25.147705,6.090317,230.583,39.755953,1.5809,-0.44536
L1_2,1,3,11,True,True,30.92198,5.797594,195.908,65.561287,2.1202,-0.1272
L1_3,1,1,11,False,False,,,,15.243122,0.0,-1.0
L1_4,1,2,11,True,True,24.536594,3.117837,262.36,36.946525,1.5058,-0.15926
L1_5,1,3,11,True,True,24.24482,5.420195,221.456,25.64787,1.0579,-0.78881
L1_6,1,1,11,True,True,11.723544,2.841601,242.604,15.909227,1.357,-0.21688
L1_7,1,2,11,True,True,21.876382,6.902622,243.73,31.602156,1.4446,-0.59813
L1_8,1,3,11,True,False,30.672579,6.56411,228.0,30.672579,0.0,-0.5
L1_9,1,1,11,True,True,17.608406,2.615982,252.392,43.16615,2.4515,0.41586
L1_10,1,2,11,True,True,26.812791,6.823075,213.193,50.701879,1.891,-0.32307
L1_11,1,3,11,False,False,,,,26.398074,0.0,-1.0
L1_12,1,1,11,True,False,19.782871,3.160271,237.417,19.782871,0.0,-0.5
L1_13,1,2,11,True,True,27.697455,5.817948,207.492,59.210703,2.1378,-0.12071
L1_14,1,3,11,True,False,21.193845,8.869937,245.611,21.193845,0.0,-0.5
L1_15,1,1,11,True,True,15.370735,3.379953,234.092,17.795721,1.1578,-0.46244
L1_16,1,2,11,True,True,23.65476,6.543688,244.287,31.959972,1.3511,-0.63833
L1_17,1,3,11,True,True,24.091786,7.844558,260.122,60.185653,2.4982,-0.11435
L1_18,1,1,11,True,True,12.424232,4.615272,251.73,23.149153,1.8632,-0.14238
L1_19,1,2,11,True,True,18.907439,4.761022,227.72,39.202914,2.0734,-0.05104
L1_20,1,3,11,True,False,33.722672,8.25217,210.251,33.722672,0.0,-0.5
L1_21,1,1,11,False,False,,,,18.016102,0.0,-1.0
L1_22,1,2,11,True,True,18.375241,5.346933,213.595,26.025386,1.4163,-0.49019
L1_23,1,3,11,True,True,26.48097,7.812734,251.083,41.314328,1.5602,-0.58309
L1_24,1,1,11,True,True,18.574991,4.455319,229.071,43.023945,2.3162,0.09289
L1_25,1,2,11,True,True,15.762596,4.918533,226.73,36.676441,2.3268,0.04799
L1_26,1,3,11,True,False,28.953007,4.976004,251.953,28.953007,0.0,-0.5
L1_27,1,1,11,True,False,13.161821,5.013321,245.85,13.161821,0.0,-0.5
L1_28,1,2,11,True,False,19.693327,3.744454,199.86,19.693327,0.0,-0.5
L1_29,1,3,11,True,True,23.280442,4.602632,215.066,32.507325,1.3963,-0.42946
L1_30,1,1,11,True,False,11.138932,3.93139,244.307,11.138932,0.0,-0.5
L1_31,1,2,11,True,True,23.976438,3.581049,262.013,51.522205,2.1489,0.12711
L1_32,1,3,11,True,True,21.937552,9.159935,222.991,37.197778,1.6956,-0.57937
L1_33,1,1,11,True,True,13.906103,3.933398,223.047,22.295544,1.6033,-0.21269
L1_34,1,2,11,True,True,15.958602,5.029991,202.091,34.903273,2.1871,-0.02513
L1_35,1,3,11,True,True,26.411293,7.430267,197.303,41.246508,1.5617,-0.55701
L1_36,1,1,11,True,True,13.283098,3.124509,207.151,31.257221,2.3532,0.28612
L1_37,1,2,11,True,True,26.28656,3.141366,215.255,34.297389,1.3047,-0.30632
L1_38,1,3,11,True,True,22.34153,4.151197,238.848,40.85195,1.8285,-0.10819
L1_39,1,1,11,True,True,13.028769,3.372126,225.798,18.711013,1.4361,-0.24582
L1_40,1,2,11,True,True,15.433647,6.946184,206.584,26.135687,1.6934,-0.44234
L2_1,2,3,11,True,False,29.179462,6.229138,200.813,29.179462,0.0,-0.5
L2_2,2,4,11,True,False,43.106679,6.52749,213.89,43.106679,0.0,-0.5
L2_3,2,2,11,True,True,20.391705,5.120185,234.696,39.116066,1.9182,-0.16519
L2_4,2,3,11,True,True,34.519156,7.425924,250.378,39.783263,1.1525,-0.86056
L2_5,2,4,11,True,False,26.198687,7.392418,262.737,26.198687,0.0,-0.5
L2_6,2,2,11,True,True,20.381233,4.894568,231.449,39.077152,1.9173,-0.14314
L2_7,2,3,11,True,True,22.234842,4.721597,227.616,46.051022,2.0711,-0.04798
L2_8,2,4,11,True,False,24.41354,10.585318,260.629,24.41354,0.0,-0.5
L2_9,2,2,11,True,False,18.787328,4.74009,221.777,18.787328,0.0,-0.5
L2_10,2,3,11,True,True,23.17312,4.43774,218.549,44.529634,1.9216,-0.09191
L2_11,2,4,11,True,True,41.394528,9.986232,244.22,51.405079,1.2418,-0.93402
L2_12,2,2,11,False,False,,,,19.464754,0.0,-1.0
L2_13,2,3,11,True,False,20.374607,6.776507,238.888,20.374607,0.0,-0.5
L2_14,2,4,11,True,True,30.012906,7.486032,208.419,53.334356,1.777,-0.43157
