task_id,runtime_ms,joules,speedup,dominated
L1_1,25.147705,6.090317,1.5809,True
L1_2,30.92198,5.797594,2.1202,True
L1_4,24.536594,3.117837,1.5058,True
L1_5,24.24482,5.420195,1.0579,True
L1_6,11.723544,2.841601,1.357,True
L1_7,21.876382,6.902622,1.4446,True
L1_9,17.608406,2.615982,2.4515,True
L1_10,26.812791,6.823075,1.891,True
L1_13,27.697455,5.817948,2.1378,True
L1_15,15.370735,3.379953,1.1578,True
L1_16,23.65476,6.543688,1.3511,True
L1_17,24.091786,7.844558,2.4982,True
L1_18,12.424232,4.615272,1.8632,True
L1_19,18.907439,4.761022,2.0734,True
L1_22,18.375241,5.346933,1.4163,True
L1_23,26.48097,7.812734,1.5602,True
L1_24,18.574991,4.455319,2.3162,True
L1_25,15.762596,4.918533,2.3268,True
L1_29,23.280442,4.602632,1.3963,True
L1_31,23.976438,3.581049,2.1489,True
L1_32,21.937552,9.159935,1.6956,True
L1_33,13.906103,3.933398,1.6033,True
L1_34,15.958602,5.029991,2.1871,True
L1_35,26.411293,7.430267,1.5617,True
L1_36,13.283098,3.124509,2.3532,True
L1_37,26.28656,3.141366,1.3047,True
L1_38,22.34153,4.151197,1.8285,True
L1_39,13.028769,3.372126,1.4361,True
L1_40,15.433647,6.946184,1.6934,True
L2_3,20.391705,5.120185,1.9182,True
L2_4,34.519156,7.425924,1.1525,True
L2_6,20.381233,4.894568,1.9173,True
L2_7,22.234842,4.721597,2.0711,True
L2_10,23.17312,4.43774,1.9216,True
L2_11,41.394528,9.986232,1.2418,True
L2_14,30.012906,7.486032,1.777,True
L2_15,24.060679,7.109351,1.0876,True
L2_17,32.678063,10.289456,2.2017,True
L3_1,24.258106,6.733893,2.0552,True
L3_3,25.038481,9.655094,1.9819,True
L3_4,31.190411,7.259751,1.4028,True
L3_7,25.782577,8.619697,2.0281,True
L3_8,32.091327,8.780236,1.7754,True
L3_10,31.338231,8.603348,2.3258,True
L4_1,43.895998,8.091881,2.4799,True
L4_3,38.124984,9.086405,2.0062,True
L1_1,25.915417,5.489786,2.2246,True
L1_3,10.549532,3.46972,1.5693,False
L1_4,16.337871,5.797006,2.4437,True
L1_6,13.059696,2.147442,2.2109,False
L1_7,20.90119,4.89201,2.0025,True
L1_10,25.189474,3.604132,2.0233,True
L1_12,13.373614,2.134199,1.4248,False
L1_13,24.996431,5.222304,1.0742,True
L1_19,19.50391,4.501873,2.0015,True
L1_20,25.516884,3.818479,2.3595,True
L1_21,13.493693,3.360924,1.9383,True
L1_24,13.960623,4.337616,1.1955,True
L1_25,17.213991,3.615452,2.3651,True
L1_26,27.091054,6.740543,1.75,True
L1_28,16.453849,6.404924,1.3201,True
L1_29,19.792423,8.211975,2.3654,True
L1_30,13.962898,3.141193,1.7039,True
L1_31,15.118112,2.983939,2.3579,True
L1_32,33.519179,6.448793,1.39,True
L1_34,20.063888,4.479567,1.3855,True
L1_36,19.164646,3.2645,1.404,True
L1_38,27.150571,8.080362,1.9719,True
L1_39,16.380429,4.402469,1.2025,True
L1_40,16.05598,3.662739,1.1717,True
L2_1,33.195362,7.200251,1.0625,True
L2_6,22.161837,4.401713,2.3871,True
L2_7,31.880459,7.585103,2.4317,True
L2_9,15.304002,3.820493,2.3182,True
L2_15,19.580026,5.667094,1.8253,True
L2_18,17.879132,3.743589,1.1211,True
L2_19,29.76573,8.326909,1.4156,True
L3_1,37.975898,6.27737,2.4335,True
L3_2,31.593981,3.838296,2.4139,True
L3_5,32.713454,4.814524,2.1174,True
L3_6,28.602273,6.141173,1.4858,True
L3_8,21.352495,6.525333,2.3363,True
L4_3,36.422228,11.887804,2.0052,True
L4_4,23.907139,7.907376,1.7001,True
L4_6,27.83889,5.112405,1.7082,True
L4_7,45.415152,6.74773,1.195,True
L4_8,37.275225,10.155342,1.6791,True
L1_1,16.594133,5.41878,1.6264,True
L1_3,18.526499,4.228713,2.3698,True
L1_4,25.267727,4.843921,2.2184,True
L1_6,14.947687,3.209409,1.9606,True
L1_9,16.033407,2.898684,1.4136,True
L1_11,18.257583,8.336488,2.0059,True
L1_12,15.246567,3.404463,1.9333,True
L1_13,25.13545,4.705419,1.3812,True
L1_15,12.47289,3.721755,1.9634,True
L1_16,17.106174,3.550945,1.6413,True
L1_17,25.688399,7.416974,1.4567,True
L1_23,32.458103,4.129133,2.2442,True
L1_24,13.936363,2.25221,1.1674,True
L1_26,27.356429,8.449288,1.5141,True
L1_27,10.902628,4.192503,1.7046,True
L1_29,22.283926,4.523184,1.4545,True
L1_30,16.0479,2.482518,1.3401,True
L1_32,24.058782,8.310093,1.9873,True
L1_33,16.605827,3.51243,1.3732,True
L1_34,23.397653,5.702178,2.2284,True
L1_36,10.613827,2.701375,1.7912,False
L1_37,15.287056,4.668813,1.1888,True
L1_38,26.249442,5.166541,2.2272,True
L1_39,15.048517,3.833779,1.9541,True
L1_40,17.68614,6.056198,2.1629,True
L2_3,19.923173,6.447313,1.3011,True
L2_6,20.080791,5.333573,1.7221,True
L2_7,27.943801,4.373836,1.346,True
L2_8,24.901977,6.816875,1.6796,True
L2_14,30.714497,7.070869,1.5342,True
L2_15,26.09506,5.582817,1.6371,True
L2_16,21.983003,8.384474,1.3052,True
L2_18,18.522771,3.099122,1.1725,True
L2_19,29.882844,7.965603,1.3977,True
L3_1,38.005134,5.118056,1.5435,True
L3_2,27.464073,7.469478,2.3096,True
L3_4,18.141383,4.074673,2.4082,True
L3_5,24.980767,8.946842,2.1816,True
L3_6,31.109406,5.71164,1.9455,True
L3_7,27.070679,4.496765,2.3835,True
L3_8,30.424001,6.286772,2.4054,True
L4_2,33.457254,6.861756,1.5458,True
L4_3,41.346151,7.291638,1.983,True
L4_7,31.762556,6.364066,1.1615,True
L4_9,40.936227,9.453456,1.4528,True
