idx,x,y,series,label
1,1,0.643903,passatk,turn_1_pt_1
2,2,0.715974,passatk,turn_2_pt_2
3,3,0.76314,passatk,turn_3_pt_3
4,4,0.806109,passatk,turn_4_pt_4
5,5,0.82674,passatk,turn_5_pt_5
6,1,0.647422,passatk,turn_1_pt_6
7,2,0.710821,passatk,turn_2_pt_7
8,3,0.768187,passatk,turn_3_pt_8
9,4,0.796592,passatk,turn_4_pt_9
10,5,0.832659,passatk,turn_5_pt_10
11,1,0.649624,passatk,turn_1_pt_11
12,2,0.711674,passatk,turn_2_pt_12
13,3,0.758995,passatk,turn_3_pt_13
14,4,0.7979,passatk,turn_4_pt_14
15,5,0.837516,passatk,turn_5_pt_15
16,1,0.643954,passatk,turn_1_pt_16
17,2,0.718279,passatk,turn_2_pt_17
18,3,0.769442,passatk,turn_3_pt_18
19,4,0.800732,passatk,turn_4_pt_19
20,5,0.830665,passatk,turn_5_pt_20
21,1,0.647716,passatk,turn_1_pt_21
22,2,0.720395,passatk,turn_2_pt_22
23,3,0.765657,passatk,turn_3_pt_23
24,4,0.797447,passatk,turn_4_pt_24
25,5,0.837047,passatk,turn_5_pt_25
26,1,0.642724,passatk,turn_1_pt_26
27,2,0.711856,passatk,turn_2_pt_27
28,3,0.765102,passatk,turn_3_pt_28
29,4,0.805439,passatk,turn_4_pt_29
30,5,0.828392,passatk,turn_5_pt_30
