idx,x,y,series,label
1,0.808281,0.555532,reward_curve,reward_curve_1
2,0.426313,0.320446,reward_curve,reward_curve_2
3,0.962646,0.697689,reward_curve,reward_curve_3
4,0.261003,0.530898,reward_curve,reward_curve_4
5,0.50512,0.716612,reward_curve,reward_curve_5
6,0.765146,0.107117,reward_curve,reward_curve_6
7,0.136648,0.90491,reward_curve,reward_curve_7
8,0.481438,0.216725,reward_curve,reward_curve_8
9,0.184339,0.076888,reward_curve,reward_curve_9
10,0.675794,0.162283,reward_curve,reward_curve_10
11,0.415942,0.825689,reward_curve,reward_curve_11
12,0.900237,0.750563,reward_curve,reward_curve_12
13,0.070911,0.42803,reward_curve,reward_curve_13
14,0.144472,0.056305,reward_curve,reward_curve_14
15,0.861883,0.723949,reward_curve,reward_curve_15
16,0.255943,0.501912,reward_curve,reward_curve_16
17,0.404441,0.057654,reward_curve,reward_curve_17
18,0.830869,0.365578,reward_curve,reward_curve_18
19,0.55845,0.272836,reward_curve,reward_curve_19
20,0.450297,0.637055,reward_curve,reward_curve_20
21,0.527081,0.390989,reward_curve,reward_curve_21
22,0.629579,0.630167,reward_curve,reward_curve_22
23,0.559209,0.255418,reward_curve,reward_curve_23
24,0.333947,0.016195,reward_curve,reward_curve_24
25,0.195409,0.322568,reward_curve,reward_curve_25
26,0.121039,0.19846,reward_curve,reward_curve_26
27,0.017136,0.133996,reward_curve,reward_curve_27
28,0.170695,0.753429,reward_curve,reward_curve_28
29,0.949922,0.397245,reward_curve,reward_curve_29
30,0.67118,0.277684,reward_curve,reward_curve_30
