idx,x,y,series,label
1,0.900647,0.629006,runtime_joules,runtime_joules_1
2,0.153634,0.031302,runtime_joules,runtime_joules_2
3,0.805678,0.714667,runtime_joules,runtime_joules_3
4,0.465762,0.091412,runtime_joules,runtime_joules_4
5,0.325362,0.89933,runtime_joules,runtime_joules_5
6,0.733403,0.168091,runtime_joules,runtime_joules_6
7,0.741267,0.404135,runtime_joules,runtime_joules_7
8,0.798198,0.150768,runtime_joules,runtime_joules_8
9,0.656289,0.846594,runtime_joules,runtime_joules_9
10,0.220607,0.736955,runtime_joules,runtime_joules_10
11,0.334399,0.744615,runtime_joules,runtime_joules_11
12,0.95816,0.621521,runtime_joules,runtime_joules_12
13,0.58652,0.172355,runtime_joules,runtime_joules_13
14,0.746823,0.011179,runtime_joules,runtime_joules_14
15,0.333501,0.851963,runtime_joules,runtime_joules_15
16,0.859198,0.745235,runtime_joules,runtime_joules_16
17,0.689836,0.51999,runtime_joules,runtime_joules_17
18,0.074352,0.607431,runtime_joules,runtime_joules_18
19,0.044178,0.09148,runtime_joules,runtime_joules_19
20,0.8939,0.742097,runtime_joules,runtime_joules_20
21,0.349104,0.16166,runtime_joules,runtime_joules_21
22,0.261722,0.969926,runtime_joules,runtime_joules_22
23,0.455234,0.011722,runtime_joules,runtime_joules_23
24,0.641078,0.465537,runtime_joules,runtime_joules_24
25,0.186393,0.738677,runtime_joules,runtime_joules_25
26,0.266822,0.348934,runtime_joules,runtime_joules_26
27,0.764051,0.613898,runtime_joules,runtime_joules_27
28,0.455962,0.635584,runtime_joules,runtime_joules_28
29,0.429673,0.381045,runtime_joules,runtime_joules_29
30,0.58895,0.185179,runtime_joules,runtime_joules_30
