task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,17.495094,4.50876,231.804,25.203074,1.4406,-0.38797
L1_2,1,3,11,True,True,33.690398,3.524373,227.326,64.594402,1.9173,0.02106
L1_3,1,1,11,True,True,17.534277,4.120805,211.538,23.467401,1.3384,-0.41657
L1_4,1,2,11,False,False,,,,20.678897,0.0,-1.0
L1_5,1,3,11,True,False,35.876224,6.980747,224.598,35.876224,0.0,-0.5
L1_6,1,1,11,True,True,11.252427,3.481017,214.233,26.069618,2.3168,0.21652
L1_7,1,2,11,False,False,,,,27.129272,0.0,-1.0
L1_8,1,3,11,True,False,24.014482,7.430254,240.347,24.014482,0.0,-0.5
L1_9,1,1,11,True,True,19.550498,2.761089,259.023,34.957078,1.788,0.07331
L1_10,1,2,11,True,False,24.688099,3.37377,199.722,24.688099,0.0,-0.5
L1_11,1,3,11,True,False,32.628584,5.326473,211.505,32.628584,0.0,-0.5
L1_12,1,1,11,True,True,12.373747,2.687498,263.565,28.778544,2.3258,0.34975
L1_13,1,2,11,True,True,24.60895,4.506989,196.15,46.896779,1.9057,-0.10798
L1_14,1,3,11,True,True,28.483033,6.896846,234.029,50.608396,1.7768,-0.39072
L1_15,1,1,11,False,False,,,,12.631838,0.0,-1.0
L1_16,1,2,11,True,False,18.760128,4.789557,199.9,18.760128,0.0,-0.5
L1_17,1,3,11,True,True,19.506018,6.105365,261.004,47.678619,2.4443,-0.01082
L1_18,1,1,11,True,True,13.602936,4.54005,200.985,27.101664,1.9923,-0.06716
L1_19,1,2,11,True,False,20.544865,3.821801,258.502,20.544865,0.0,-0.5
L1_20,1,3,11,False,False,,,,23.644219,0.0,-1.0
L1_21,1,1,11,True,False,18.973114,3.697544,236.73,18.973114,0.0,-0.5
L1_22,1,2,11,True,True,23.782439,5.496675,229.036,40.59309,1.7069,-0.31742
L1_23,1,3,11,True,True,21.391758,7.353574,215.775,35.991471,1.6825,-0.47732
L1_24,1,1,11,True,True,18.982014,3.993041,251.975,37.7905,1.9909,-0.00371
L1_25,1,2,11,True,True,26.72679,2.787904,259.487,50.064202,1.8732,0.11499
L1_26,1,3,11,True,True,35.356175,3.892971,258.928,69.928282,1.9778,0.00241
L1_27,1,1,11,True,True,18.190377,1.971192,241.093,25.45597,1.3994,-0.00326
L1_28,1,2,11,True,True,26.864668,4.893398,210.264,54.981501,2.0466,-0.07776
L1_29,1,3,11,False,False,,,,27.680232,0.0,-1.0
L1_30,1,1,11,True,True,12.39843,3.51042,213.606,27.553398,2.2223,0.17069
L1_31,1,2,11,True,False,24.822987,4.8873,215.976,24.822987,0.0,-0.5
L1_32,1,3,11,False,False,,,,20.351388,0.0,-1.0
L1_33,1,1,11,True,True,11.955914,3.089938,216.948,25.278137,2.1143,0.18464
L1_34,1,2,11,True,True,24.794391,6.254397,219.527,50.34621,2.0305,-0.20834
L1_35,1,3,11,False,False,,,,28.895685,0.0,-1.0
L1_36,1,1,11,False,False,,,,15.896503,0.0,-1.0
L1_37,1,2,11,False,False,,,,20.652358,0.0,-1.0
L1_38,1,3,11,True,True,21.675598,7.659972,215.008,45.631485,2.1052,-0.27359
L1_39,1,1,11,True,True,16.626914,2.808876,259.07,35.788736,2.1525,0.25022
L1_40,1,2,11,True,True,19.57111,2.751921,250.724,43.565712,2.226,0.29407
L2_1,2,3,11,True,True,23.418866,4.775097,232.773,47.59971,2.0325,-0.07242
L2_2,2,4,11,True,False,39.282505,8.068222,224.554,39.282505,0.0,-0.5
L2_3,2,2,11,True,False,24.881824,2.807939,254.104,24.881824,0.0,-0.5
L2_4,2,3,11,True,False,20.510883,6.112612,224.407,20.510883,0.0,-0.5
L2_5,2,4,11,True,False,23.704546,7.188026,225.849,23.704546,0.0,-0.5
L2_6,2,2,11,True,True,16.613746,4.171703,244.051,31.097441,1.8718,-0.08727
L2_7,2,3,11,False,False,,,,21.522566,0.0,-1.0
L2_8,2,4,11,True,True,41.971908,7.263487,198.265,91.398732,2.1776,-0.2132
L2_9,2,2,11,True,False,22.614247,5.252755,215.975,22.614247,0.0,-0.5
L2_10,2,3,11,True,True,27.555749,3.931593,228.325,59.725046,2.1674,0.08902
L2_11,2,4,11,True,True,40.986363,9.077463,227.488,69.674844,1.7,-0.5723
L2_12,2,2,11,True,False,26.457568,3.476803,236.306,26.457568,0.0,-0.5
L2_13,2,3,11,True,True,27.192872,5.740362,214.409,38.953666,1.4325,-0.51434
L2_14,2,4,11,False,False,,,,38.917959,0.0,-1.0
L2_15,2,2,11,False,False,,,,22.753226,0.0,-1.0
L2_16,2,3,11,True,True,31.293821,4.943014,206.953,45.761499,1.4623,-0.41897
L2_17,2,4,11,True,True,28.284802,8.077496,227.493,45.002101,1.591,-0.58016
L2_18,2,2,11,True,True,16.67133,3.64856,197.336,31.327899,1.8791,-0.01635
L2_19,2,3,11,True,True,20.341485,5.673594,218.603,34.187959,1.6807,-0.3487
L2_20,2,4,11,True,False,31.13497,9.136323,234.619,31.13497,0.0,-0.5
L3_1,3,4,11,False,False,,,,35.904344,0.0,-1.0
