idx,x,y,series,label
1,2.196203,0.261046,pareto,pareto_1
2,1.914114,0.238695,pareto,pareto_2
3,1.668316,0.211317,pareto,pareto_3
4,1.81737,0.258482,pareto,pareto_4
5,1.782126,0.265362,pareto,pareto_5
6,1.823486,0.26861,pareto,pareto_6
7,1.852899,0.274678,pareto,pareto_7
8,1.645918,0.281423,pareto,pareto_8
9,1.866427,0.28595,pareto,pareto_9
10,1.841077,0.295302,pareto,pareto_10
11,1.690145,0.297983,pareto,pareto_11
12,1.60707,0.301947,pareto,pareto_12
13,1.938564,0.312022,pareto,pareto_13
14,1.966312,0.317834,pareto,pareto_14
15,1.985527,0.320823,pareto,pareto_15
16,1.845708,0.32227,pareto,pareto_16
17,1.748092,0.325301,pareto,pareto_17
18,1.840906,0.328768,pareto,pareto_18
19,1.798486,0.340701,pareto,pareto_19
20,1.711232,0.351277,pareto,pareto_20
21,1.707734,0.365615,pareto,pareto_21
22,1.583295,0.370978,pareto,pareto_22
23,1.578509,0.3763,pareto,pareto_23
24,1.743903,0.378903,pareto,pareto_24
25,1.729614,0.378984,pareto,pareto_25
26,1.668757,0.385479,pareto,pareto_26
27,1.783745,0.386212,pareto,pareto_27
28,1.875518,0.387728,pareto,pareto_28
29,1.69385,0.396147,pareto,pareto_29
30,1.796079,0.406931,pareto,pareto_30
