idx,x,y,series,label
1,0.452776,0.966114,passatk,passatk_1
2,0.182689,0.51124,passatk,passatk_2
3,0.572597,0.035175,passatk,passatk_3
4,0.906937,0.62023,passatk,passatk_4
5,0.043879,0.534095,passatk,passatk_5
6,0.859134,0.234352,passatk,passatk_6
7,0.668697,0.553297,passatk,passatk_7
8,0.329149,0.867701,passatk,passatk_8
9,0.677684,0.325655,passatk,passatk_9
10,0.053871,0.622609,passatk,passatk_10
11,0.445613,0.811531,passatk,passatk_11
12,0.873754,0.400904,passatk,passatk_12
13,0.523264,0.136965,passatk,passatk_13
14,0.245777,0.341861,passatk,passatk_14
15,0.266085,0.953853,passatk,passatk_15
16,0.751018,0.206077,passatk,passatk_16
17,0.658341,0.553486,passatk,passatk_17
18,0.419657,0.752924,passatk,passatk_18
19,0.707718,0.590251,passatk,passatk_19
20,0.59975,0.314463,passatk,passatk_20
21,0.035866,0.390344,passatk,passatk_21
22,0.830744,0.688327,passatk,passatk_22
23,0.092341,0.147689,passatk,passatk_23
24,0.050687,0.589718,passatk,passatk_24
25,0.047411,0.205959,passatk,passatk_25
26,0.122452,0.710399,passatk,passatk_26
27,0.398951,0.100973,passatk,passatk_27
28,0.647246,0.218408,passatk,passatk_28
29,0.947472,0.258936,passatk,passatk_29
30,0.604781,0.535875,passatk,passatk_30
