index,reward
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-0.96518
30,-0.91748
31,-0.8737
32,-0.82494
33,-0.80581
34,-0.74411
35,-0.73445
36,-0.69801
37,-0.69237
38,-0.69032
39,-0.65889
40,-0.63525
41,-0.63304
42,-0.63279
43,-0.59321
44,-0.59075
45,-0.58024
46,-0.58016
47,-0.5723
48,-0.57053
49,-0.55606
50,-0.53189
51,-0.51683
52,-0.51526
53,-0.51434
54,-0.5
55,-0.5
56,-0.5
57,-0.5
58,-0.5
59,-0.5
60,-0.5
61,-0.5
62,-0.5
63,-0.5
64,-0.5
65,-0.5
66,-0.5
67,-0.5
68,-0.5
69,-0.5
70,-0.5
71,-0.5
72,-0.5
73,-0.5
74,-0.5
75,-0.5
76,-0.5
77,-0.5
78,-0.5
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.49523
115,-0.48345
116,-0.47732
117,-0.47342
118,-0.46607
119,-0.46361
120,-0.44416
121,-0.4391
122,-0.4355
123,-0.41897
124,-0.41741
125,-0.41657
126,-0.41369
127,-0.40178
128,-0.39236
129,-0.3922
130,-0.39094
131,-0.39072
132,-0.38797
133,-0.3737
134,-0.35514
135,-0.35369
136,-0.34995
137,-0.3487
138,-0.34252
139,-0.34137
140,-0.33967
141,-0.33806
142,-0.33194
143,-0.33044
144,-0.31742
145,-0.31579
146,-0.31276
147,-0.28564
148,-0.27688
149,-0.27359
150,-0.26663
151,-0.24316
152,-0.23907
153,-0.21574
154,-0.2132
155,-0.21053
156,-0.20834
157,-0.20243
158,-0.199
159,-0.19859
160,-0.19749
161,-0.19715
162,-0.19044
163,-0.18597
164,-0.18048
165,-0.17665
166,-0.1755
167,-0.16445
168,-0.15659
169,-0.15625
170,-0.15026
171,-0.1454
172,-0.13943
173,-0.10798
174,-0.10532
175,-0.10108
176,-0.08727
177,-0.08678
178,-0.0824
179,-0.07776
180,-0.07242
181,-0.06985
182,-0.06866
183,-0.06716
184,-0.067
185,-0.06131
186,-0.0543
187,-0.05146
188,-0.0501
189,-0.04988
190,-0.04599
191,-0.04287
192,-0.03526
193,-0.03097
194,-0.01635
195,-0.01082
196,-0.00371
197,-0.00326
198,0.00241
199,0.00522
200,0.00579
201,0.00603
202,0.00731
203,0.01534
204,0.01671
205,0.01844
206,0.01845
207,0.02106
208,0.05009
209,0.06541
210,0.0686
211,0.07331
212,0.07961
213,0.08902
214,0.11499
215,0.11605
216,0.12722
217,0.12833
218,0.13878
219,0.14883
220,0.15057
221,0.17069
222,0.18464
223,0.18626
224,0.1968
225,0.21152
226,0.21652
227,0.25022
228,0.25282
229,0.28329
230,0.29407
231,0.34271
232,0.34432
233,0.34975
234,0.40183
235,0.47214
236,0.508
