idx,x,y,series,label
1,2.578469,0.410654,runtime_joules,L1_1_s11
2,2.776124,0.41273,runtime_joules,L1_10_s11
3,3.189036,0.441885,runtime_joules,L1_11_s11
4,1.968036,0.26861,runtime_joules,L1_12_s11
5,2.867052,0.447,runtime_joules,L1_13_s11
6,3.198939,0.449722,runtime_joules,L1_14_s11
7,3.298105,0.488883,runtime_joules,L1_15_s11
8,2.562564,0.386212,runtime_joules,L1_16_s11
9,2.656765,0.424507,runtime_joules,L1_17_s11
10,3.814592,0.496437,runtime_joules,L1_18_s11
11,1.551596,0.211317,runtime_joules,L1_19_s11
12,3.134664,0.427986,runtime_joules,L1_2_s11
13,2.079869,0.281423,runtime_joules,L1_20_s11
14,3.186714,0.44524,runtime_joules,L1_3_s11
15,3.060968,0.396147,runtime_joules,L1_4_s11
16,1.772364,0.274678,runtime_joules,L1_5_s11
17,2.573003,0.320823,runtime_joules,L1_6_s11
18,2.409876,0.351277,runtime_joules,L1_7_s11
19,2.732474,0.435493,runtime_joules,L1_8_s11
20,2.732232,0.411921,runtime_joules,L1_9_s11
21,4.718935,0.830509,runtime_joules,L2_1_s11
22,6.397872,1.124581,runtime_joules,L2_10_s11
23,4.83524,0.807544,runtime_joules,L2_11_s11
24,8.953011,1.934351,runtime_joules,L2_12_s11
25,8.689354,1.637612,runtime_joules,L2_13_s11
26,6.447933,1.233184,runtime_joules,L2_14_s11
27,6.269926,0.921025,runtime_joules,L2_15_s11
28,6.780884,1.050946,runtime_joules,L2_16_s11
29,7.027004,1.225692,runtime_joules,L2_17_s11
30,8.449929,1.553434,runtime_joules,L2_18_s11
