run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,stage,checkpoint
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_1,11,L1_1,1,1,2.362415,1.60752,0.36365,145.136,0,14.3152,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_2,11,L1_2,1,0,2.945418,2.113381,0.479668,153.974,0,10.124828,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_3,11,L1_3,1,1,2.877431,2.022826,0.444416,149.703,0,15.054167,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_4,11,L1_4,1,0,2.553984,1.82594,0.368293,145.912,0,10.511091,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_5,11,L1_5,1,0,1.742503,1.959356,0.262481,146.772,0,11.33146,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_6,11,L1_6,1,1,2.944959,1.992005,0.401259,142.287,0,15.796455,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_7,11,L1_7,1,1,2.694589,1.955289,0.366189,143.938,0,15.919483,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_8,11,L1_8,1,1,2.972511,1.761836,0.422008,142.219,0,14.861824,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_9,11,L1_9,1,1,2.348232,1.569611,0.386739,149.597,0,15.43143,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_10,11,L1_10,1,0,2.851433,1.705488,0.405993,134.479,0,10.116637,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_11,11,L1_11,1,1,2.702958,1.736925,0.372193,149.77,0,14.66402,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_12,11,L1_12,0,0,2.51447,1.867021,0.377396,140.867,0,9.409764,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_13,11,L1_13,1,1,3.28502,1.561128,0.519149,145.963,0,14.077937,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_14,11,L1_14,1,1,2.649252,1.794325,0.380127,140.451,0,15.345635,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_15,11,L1_15,1,1,2.865409,1.767764,0.415446,139.993,0,14.816763,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_16,11,L1_16,1,0,2.856484,1.755878,0.41101,146.483,0,9.851046,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_17,11,L1_17,1,1,3.381484,2.039596,0.482794,138.687,0,15.596478,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_18,11,L1_18,1,1,3.037039,1.733833,0.464591,143.781,0,15.129835,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_19,11,L1_19,1,1,1.739764,1.752925,0.239025,138.179,0,14.530088,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L1_20,11,L1_20,1,1,2.223946,1.936073,0.284772,131.833,0,15.453618,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_1,11,L2_1,1,1,5.008464,1.651887,0.829574,166.332,0,14.541466,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_2,11,L2_2,1,1,4.436753,1.864933,0.868575,193.698,0,14.736334,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_3,11,L2_3,1,1,5.674187,1.565337,0.933823,167.759,0,13.775037,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_4,11,L2_4,1,0,6.107744,1.757231,1.00821,164.987,0,9.980012,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_5,11,L2_5,1,1,4.908431,1.868035,0.81188,159.946,0,14.479341,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_6,11,L2_6,1,1,4.958768,1.608954,0.833747,161.451,0,14.286624,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_7,11,L2_7,1,1,6.535759,1.497453,1.059733,156.105,0,13.43556,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_8,11,L2_8,1,1,4.738237,1.422272,0.749932,160.499,0,14.119308,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_9,11,L2_9,1,1,7.402542,1.596201,1.478213,186.924,0,13.769727,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_10,11,L2_10,1,0,5.535976,1.547937,0.891253,175.384,0,9.920316,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_11,11,L2_11,1,1,5.620522,1.725997,0.814966,150.03,1,13.556571,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_12,11,L2_12,1,1,7.281198,1.440055,1.207286,168.049,0,13.693099,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_13,11,L2_13,1,0,7.535323,1.879488,1.314598,171.767,0,9.398214,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_14,11,L2_14,1,1,5.066242,1.778532,0.859268,170.808,0,14.795014,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_15,11,L2_15,1,0,6.274929,1.538553,1.1373,181.789,0,9.436466,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_16,11,L2_16,1,1,6.053209,1.687869,0.968018,157.326,0,14.48936,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_17,11,L2_17,1,1,6.179192,1.686447,1.050262,174.52,0,14.334285,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_18,11,L2_18,1,1,9.10903,1.689503,1.326342,155.824,0,13.646402,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_19,11,L2_19,1,1,7.314127,1.698528,1.201518,166.571,0,13.749781,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L2_20,11,L2_20,0,0,7.545376,1.456265,1.057024,155.097,0,7.919623,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L3_1,11,L3_1,1,0,12.247705,1.533059,2.278333,191.543,0,8.503638,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L3_2,11,L3_2,1,1,13.585285,1.542575,2.54166,183.926,0,12.679792,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
run::M3_GRPO_IPW_BLEND::ipw_blend_sweep::seed11::L3_3,11,L3_3,1,1,13.661456,1.874365,3.280047,213.89,0,12.250134,kernel_grpo_ipw,checkpoints/exp/ipw_blend_sweep/m3_grpo_ipw_blend/seed11/checkpoint.json
