task_id,runtime_ms,joules,speedup,dominated
L1_1,17.670515,5.835576,1.9339,True
L1_3,14.843024,3.894219,2.038,True
L1_6,15.664869,3.411658,2.0503,True
L1_7,22.421678,4.331209,2.3341,True
L1_10,24.500381,4.941048,1.5235,True
L1_11,35.172057,6.846281,2.1194,True
L1_12,20.135248,2.206246,2.0275,True
L1_18,18.820644,2.295745,1.1614,True
L1_20,23.598382,4.275076,2.261,True
L1_23,35.088747,3.330792,1.4895,True
L1_25,17.288899,5.352828,1.4425,True
L1_27,14.83734,2.094324,1.4506,True
L1_28,26.50461,5.317548,2.4438,True
L1_31,17.074886,5.157933,1.4124,True
L1_32,34.061094,5.305927,2.495,True
L1_33,15.478343,3.383196,1.1221,True
L1_36,16.0427,2.197669,2.278,True
L1_37,17.229983,4.83744,2.3852,True
L1_38,19.633525,3.3396,1.7522,True
L2_3,19.286995,2.660337,2.3448,True
L2_4,35.614492,5.562042,1.1178,True
L2_6,16.739558,2.814103,1.1194,True
L2_7,34.213018,3.43749,1.9137,True
L2_11,39.690766,8.771437,1.398,True
L2_13,21.146126,3.87771,1.3348,True
L2_15,24.914823,5.785373,1.4446,True
L2_17,38.316128,8.795614,1.1599,True
L2_19,29.151273,3.516595,1.3202,True
L2_20,41.147707,9.193783,2.1104,True
L3_1,39.200737,4.076531,2.3256,True
L3_4,30.444798,7.143235,1.9873,True
L3_7,37.602361,6.219162,1.4338,True
L3_8,26.266832,4.220944,2.4894,True
L3_10,31.354853,4.626874,1.6744,True
L4_6,40.572333,5.378534,1.5703,True
L4_9,40.862001,7.05,1.5446,True
L1_1,21.270107,3.869821,2.0869,True
L1_3,11.181646,2.159715,2.1433,False
L1_5,25.286299,5.942742,1.5161,True
L1_6,13.964943,2.155339,1.1232,True
L1_7,18.655251,3.099078,2.397,True
L1_8,32.605963,4.96498,2.4519,True
L1_9,12.891416,2.832711,1.3154,True
L1_11,32.042001,5.521169,1.9317,True
L1_14,23.139416,3.642931,2.3363,True
L1_16,22.339149,2.785343,1.9276,True
L1_18,19.261938,2.464711,1.1042,True
L1_19,23.641827,4.961887,1.9444,True
L1_21,15.408212,2.361983,2.2224,True
L1_22,25.684085,5.399973,1.0773,True
L1_23,28.462429,5.508211,2.3003,True
L1_24,11.76358,3.832554,1.7334,True
L1_25,19.811123,3.124233,2.1362,True
L1_27,19.384741,2.374082,1.8416,True
L1_31,22.015852,5.585829,2.1412,True
L1_32,25.986288,5.522272,2.0262,True
L1_33,16.564894,3.040239,2.1179,True
L1_34,17.651337,3.613226,2.3807,True
L1_35,21.766816,5.735678,1.3632,True
L1_36,17.941727,3.804052,2.4265,True
L1_37,24.293182,3.912734,1.1771,True
L1_38,31.17715,5.131353,1.8062,True
L2_1,31.427714,3.656558,1.2534,True
L2_3,26.319979,4.684199,1.1887,True
L2_4,24.689777,3.566876,1.6789,True
L2_6,19.114185,4.237126,1.4724,True
L2_7,30.832404,3.30862,1.6577,True
L2_9,20.486172,3.940427,1.2445,True
L2_10,18.688639,4.353395,1.9458,True
L2_11,37.239772,7.603886,1.5046,True
L2_12,24.18179,3.802259,1.4097,True
L2_15,18.66142,4.639341,1.3255,True
L2_16,32.79463,6.148431,1.2074,True
L2_18,16.178765,2.715922,2.1267,True
L3_2,18.908863,4.771231,1.769,True
L3_3,29.790431,6.043517,1.3411,True
L3_4,32.05039,4.020441,1.2468,True
L3_6,34.125609,6.905562,1.4565,True
L3_8,21.385077,6.379469,2.173,True
L3_9,35.799892,6.331934,2.2269,True
L3_10,18.918209,4.786522,1.6214,True
L4_2,33.007619,5.370341,2.1068,True
L4_3,46.511719,6.602523,2.1589,True
L4_4,39.395589,5.856994,2.467,True
L4_5,36.513089,7.065281,1.4693,True
