idx,x,y,series,label
1,0.890454,0.791933,passatk,passatk_1
2,0.409417,0.827621,passatk,passatk_2
3,0.89632,0.286054,passatk,passatk_3
4,0.471564,0.818589,passatk,passatk_4
5,0.414063,0.467667,passatk,passatk_5
6,0.645342,0.674661,passatk,passatk_6
7,0.151595,0.595783,passatk,passatk_7
8,0.945916,0.547758,passatk,passatk_8
9,0.633762,0.964986,passatk,passatk_9
10,0.656153,0.637019,passatk,passatk_10
11,0.578838,0.518932,passatk,passatk_11
12,0.010276,0.415837,passatk,passatk_12
13,0.013542,0.64008,passatk,passatk_13
14,0.591687,0.973439,passatk,passatk_14
15,0.901182,0.55239,passatk,passatk_15
16,0.605995,0.516843,passatk,passatk_16
17,0.985965,0.384639,passatk,passatk_17
18,0.978404,0.70902,passatk,passatk_18
19,0.313864,0.742674,passatk,passatk_19
20,0.073566,0.280612,passatk,passatk_20
21,0.105953,0.884191,passatk,passatk_21
22,0.305313,0.409498,passatk,passatk_22
23,0.061686,0.551978,passatk,passatk_23
24,0.277088,0.505321,passatk,passatk_24
25,0.543402,0.287012,passatk,passatk_25
26,0.540178,0.357061,passatk,passatk_26
27,0.914705,0.892139,passatk,passatk_27
28,0.110726,0.749136,passatk,passatk_28
29,0.183939,0.502271,passatk,passatk_29
30,0.876474,0.164544,passatk,passatk_30
