idx,x,y,series,label
1,1,8.644892,reward_curve,step_1
2,2,8.846922,reward_curve,step_2
3,3,9.042417,reward_curve,step_3
4,4,9.139485,reward_curve,step_4
5,5,9.215855,reward_curve,step_5
6,6,9.445063,reward_curve,step_6
7,7,9.401441,reward_curve,step_7
8,8,9.53229,reward_curve,step_8
9,9,9.618075,reward_curve,step_9
10,10,9.593069,reward_curve,step_10
11,11,9.700426,reward_curve,step_11
12,12,9.694349,reward_curve,step_12
13,13,9.734625,reward_curve,step_13
14,14,9.850947,reward_curve,step_14
15,15,9.860386,reward_curve,step_15
16,16,9.76138,reward_curve,step_16
17,17,9.823517,reward_curve,step_17
18,18,9.882283,reward_curve,step_18
19,19,9.851834,reward_curve,step_19
20,20,9.878949,reward_curve,step_20
21,21,9.977391,reward_curve,step_21
22,22,9.948888,reward_curve,step_22
23,23,10.004541,reward_curve,step_23
24,24,10.138114,reward_curve,step_24
25,25,10.115191,reward_curve,step_25
26,26,10.172777,reward_curve,step_26
27,27,10.210823,reward_curve,step_27
28,28,10.2651,reward_curve,step_28
29,29,10.270114,reward_curve,step_29
30,30,10.256764,reward_curve,step_30
