idx,x,y,series,label
1,0.585044,0.404561,runtime_joules,runtime_joules_1
2,0.014566,0.445567,runtime_joules,runtime_joules_2
3,0.5551,0.913056,runtime_joules,runtime_joules_3
4,0.758284,0.621498,runtime_joules,runtime_joules_4
5,0.11428,0.875999,runtime_joules,runtime_joules_5
6,0.631768,0.267203,runtime_joules,runtime_joules_6
7,0.966635,0.911854,runtime_joules,runtime_joules_7
8,0.025915,0.870847,runtime_joules,runtime_joules_8
9,0.913932,0.287115,runtime_joules,runtime_joules_9
10,0.192831,0.965596,runtime_joules,runtime_joules_10
11,0.326571,0.359895,runtime_joules,runtime_joules_11
12,0.4822,0.746473,runtime_joules,runtime_joules_12
13,0.290374,0.592397,runtime_joules,runtime_joules_13
14,0.67726,0.036074,runtime_joules,runtime_joules_14
15,0.491361,0.819842,runtime_joules,runtime_joules_15
16,0.663378,0.176961,runtime_joules,runtime_joules_16
17,0.430686,0.370281,runtime_joules,runtime_joules_17
18,0.446882,0.712213,runtime_joules,runtime_joules_18
19,0.212732,0.149154,runtime_joules,runtime_joules_19
20,0.146046,0.937115,runtime_joules,runtime_joules_20
21,0.770055,0.062093,runtime_joules,runtime_joules_21
22,0.298502,0.475926,runtime_joules,runtime_joules_22
23,0.406504,0.355248,runtime_joules,runtime_joules_23
24,0.748946,0.851143,runtime_joules,runtime_joules_24
25,0.317157,0.027548,runtime_joules,runtime_joules_25
26,0.534183,0.700281,runtime_joules,runtime_joules_26
27,0.242256,0.534327,runtime_joules,runtime_joules_27
28,0.637644,0.961969,runtime_joules,runtime_joules_28
29,0.174489,0.810031,runtime_joules,runtime_joules_29
30,0.727076,0.072871,runtime_joules,runtime_joules_30
