run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_1,11,L1_1,1,0,1.864859,1.81467,0.318092,171.67,0,9.800068,-1,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_2,11,L1_2,1,1,2.353718,1.73909,0.42224,181.537,0,13.808533,2,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_3,11,L1_3,1,1,2.609755,1.707625,0.42438,165.485,0,14.131768,1,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_4,11,L1_4,1,1,2.094925,1.639255,0.399058,185.039,0,13.900333,1,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_5,11,L1_5,1,1,1.12612,1.709464,0.18664,167.85,0,14.508563,2,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_6,11,L1_6,1,1,2.54808,1.887975,0.456128,180.412,0,14.784557,1,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_7,11,L1_7,1,1,1.818472,1.570188,0.283291,162.169,0,13.867186,1,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_8,11,L1_8,1,1,2.166365,1.826295,0.370486,178.412,0,13.75226,2,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_9,11,L1_9,1,1,1.839839,1.692165,0.33412,180.528,0,14.346108,2,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::regime_latency_sensitive::seed11::L1_10,11,L1_10,1,0,2.03429,1.58977,0.334313,163.872,0,9.614682,-1,,runtime_ppo,checkpoints/exp/regime_latency_sensitive/m4_runtime_ppo/seed11/checkpoint.json
