idx,x,y,series,label
1,0.225004,0.800176,pareto,pareto_1
2,0.129177,0.381262,pareto,pareto_2
3,0.438382,0.731977,pareto,pareto_3
4,0.152742,0.969937,pareto,pareto_4
5,0.922818,0.365361,pareto,pareto_5
6,0.821994,0.167936,pareto,pareto_6
7,0.492466,0.648317,pareto,pareto_7
8,0.89379,0.896357,pareto,pareto_8
9,0.208405,0.78637,pareto,pareto_9
10,0.742112,0.619699,pareto,pareto_10
11,0.535492,0.668219,pareto,pareto_11
12,0.813245,0.628613,pareto,pareto_12
13,0.193043,0.200351,pareto,pareto_13
14,0.291019,0.671343,pareto,pareto_14
15,0.149075,0.844095,pareto,pareto_15
16,0.671063,0.599257,pareto,pareto_16
17,0.184242,0.508116,pareto,pareto_17
18,0.929201,0.964923,pareto,pareto_18
19,0.120648,0.907113,pareto,pareto_19
20,0.906312,0.562928,pareto,pareto_20
21,0.616699,0.308837,pareto,pareto_21
22,0.634519,0.874958,pareto,pareto_22
23,0.767876,0.905126,pareto,pareto_23
24,0.365933,0.281896,pareto,pareto_24
25,0.376492,0.64216,pareto,pareto_25
26,0.863854,0.269498,pareto,pareto_26
27,0.124946,0.608485,pareto,pareto_27
28,0.402792,0.593875,pareto,pareto_28
29,0.640283,0.361057,pareto,pareto_29
30,0.75724,0.716713,pareto,pareto_30
