idx,x,y,series,label
1,1,0.635258,passatk,turn_1_pt_1
2,2,0.700452,passatk,turn_2_pt_2
3,3,0.74245,passatk,turn_3_pt_3
4,4,0.777464,passatk,turn_4_pt_4
5,5,0.788857,passatk,turn_5_pt_5
6,1,0.638252,passatk,turn_1_pt_6
7,2,0.694108,passatk,turn_2_pt_7
8,3,0.743135,passatk,turn_3_pt_8
9,4,0.767304,passatk,turn_4_pt_9
10,5,0.788946,passatk,turn_5_pt_10
11,1,0.645967,passatk,turn_1_pt_11
12,2,0.698138,passatk,turn_2_pt_12
13,3,0.74034,passatk,turn_3_pt_13
14,4,0.771882,passatk,turn_4_pt_14
15,5,0.793337,passatk,turn_5_pt_15
16,1,0.645546,passatk,turn_1_pt_16
17,2,0.6974,passatk,turn_2_pt_17
18,3,0.746055,passatk,turn_3_pt_18
19,4,0.766118,passatk,turn_4_pt_19
20,5,0.794168,passatk,turn_5_pt_20
21,1,0.645157,passatk,turn_1_pt_21
22,2,0.697347,passatk,turn_2_pt_22
23,3,0.741339,passatk,turn_3_pt_23
24,4,0.77252,passatk,turn_4_pt_24
25,5,0.78956,passatk,turn_5_pt_25
26,1,0.639561,passatk,turn_1_pt_26
27,2,0.703996,passatk,turn_2_pt_27
28,3,0.744932,passatk,turn_3_pt_28
29,4,0.775844,passatk,turn_4_pt_29
30,5,0.790417,passatk,turn_5_pt_30
