idx,x,y,series,label
1,0.247792,0.813469,reward_curve,reward_curve_1
2,0.065585,0.134404,reward_curve,reward_curve_2
3,0.464587,0.531795,reward_curve,reward_curve_3
4,0.620796,0.513898,reward_curve,reward_curve_4
5,0.901186,0.905117,reward_curve,reward_curve_5
6,0.248751,0.054822,reward_curve,reward_curve_6
7,0.550352,0.764851,reward_curve,reward_curve_7
8,0.18647,0.877022,reward_curve,reward_curve_8
9,0.603786,0.461426,reward_curve,reward_curve_9
10,0.525547,0.476115,reward_curve,reward_curve_10
11,0.271095,0.815991,reward_curve,reward_curve_11
12,0.289232,0.377073,reward_curve,reward_curve_12
13,0.081657,0.83469,reward_curve,reward_curve_13
14,0.565658,0.385535,reward_curve,reward_curve_14
15,0.252117,0.612454,reward_curve,reward_curve_15
16,0.093193,0.71331,reward_curve,reward_curve_16
17,0.554381,0.288789,reward_curve,reward_curve_17
18,0.864168,0.756408,reward_curve,reward_curve_18
19,0.434471,0.041592,reward_curve,reward_curve_19
20,0.185653,0.348003,reward_curve,reward_curve_20
21,0.59004,0.824802,reward_curve,reward_curve_21
22,0.643598,0.30193,reward_curve,reward_curve_22
23,0.332366,0.420216,reward_curve,reward_curve_23
24,0.129251,0.565439,reward_curve,reward_curve_24
25,0.968112,0.706803,reward_curve,reward_curve_25
26,0.439148,0.828903,reward_curve,reward_curve_26
27,0.224819,0.135225,reward_curve,reward_curve_27
28,0.123917,0.422318,reward_curve,reward_curve_28
29,0.496323,0.580572,reward_curve,reward_curve_29
30,0.031981,0.869005,reward_curve,reward_curve_30
