task_id,seed,runtime_ms,joules,correct
L1_1,11,18.418695,5.35676,True
L1_2,11,24.90612,7.089375,False
L1_3,11,14.725237,4.226318,False
L1_4,11,15.378803,4.405543,True
L1_5,11,17.684276,4.41682,True
L1_6,11,9.206588,2.889635,True
L1_7,11,21.357602,4.403484,False
L1_8,11,24.19174,5.153058,False
L1_9,11,15.518996,2.006391,False
L1_10,11,21.284447,4.049314,False
L1_11,11,17.670969,7.176419,False
L1_12,11,15.300092,2.141423,True
L1_13,11,15.590325,3.470468,False
L1_15,11,10.924911,2.392328,True
L1_16,11,20.128516,3.966597,False
L1_17,11,16.301887,4.518952,False
L1_18,11,9.699877,2.838037,True
L1_19,11,15.784422,5.042963,False
L1_20,11,22.376461,4.92292,False
L1_22,11,20.387447,4.748879,True
L1_23,11,21.603015,5.734547,False
L1_24,11,11.952842,3.855803,False
L1_25,11,16.499113,3.369711,False
L1_26,11,16.515012,7.028212,True
L1_27,11,10.16494,3.089759,False
L1_28,11,16.190356,4.989149,True
L1_29,11,18.576474,4.131744,True
L1_30,11,15.489522,3.78649,True
L1_31,11,20.429618,2.964501,False
L1_32,11,21.345319,6.623994,True
L1_33,11,13.024345,3.726856,True
L1_34,11,18.062977,3.165477,True
L1_35,11,15.758116,5.606677,True
L1_36,11,14.678094,3.476556,True
L1_37,11,20.804671,3.373687,True
L1_38,11,20.067364,7.176964,True
L1_39,11,10.85441,3.430893,True
L1_40,11,14.719477,5.50521,True
L2_1,11,23.811935,4.078806,True
L2_2,11,21.669251,7.75424,True
L2_3,11,13.218642,3.073694,False
L2_4,11,24.91321,7.124038,False
L2_5,11,22.317035,6.907252,False
L2_6,11,17.778825,2.536468,False
L2_7,11,15.546872,5.491432,True
L2_9,11,17.300069,4.242989,True
L2_11,11,23.856841,6.783704,True
L2_12,11,16.261772,3.575402,True
L2_13,11,17.135327,5.117007,False
L2_16,11,21.745521,4.075172,False
L2_17,11,29.930791,4.92874,True
L2_18,11,12.222955,2.945662,True
L2_19,11,23.780524,7.35969,True
L2_20,11,18.37367,6.928405,False
L3_1,11,30.365392,4.154637,False
