task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,20.070379,5.205004,214.333,34.787437,1.7333,-0.2748
L1_2,1,3,11,False,False,,,,24.382928,0.0,-1.0
L1_3,1,1,11,True,False,12.567238,4.036463,248.235,12.567238,0.0,-0.5
L1_4,1,2,11,True,True,24.007481,4.706699,239.998,29.517296,1.2295,-0.56788
L1_5,1,3,11,True,True,19.278806,4.977442,247.067,21.273299,1.1035,-0.70401
L1_6,1,1,11,True,True,14.966085,5.088035,224.437,20.781721,1.3886,-0.48516
L1_7,1,2,11,True,True,21.467793,4.229709,249.441,34.384477,1.6017,-0.25002
L1_8,1,3,11,True,False,30.176079,4.022566,207.267,30.176079,0.0,-0.5
L1_9,1,1,11,True,True,17.90872,5.075511,226.857,24.304507,1.3571,-0.50684
L1_10,1,2,11,True,True,18.245809,4.134225,230.273,20.491956,1.1231,-0.59355
L1_11,1,3,11,True,False,31.144088,6.297655,199.423,31.144088,0.0,-0.5
L1_12,1,1,11,True,False,15.228179,5.072153,250.436,15.228179,0.0,-0.5
L1_13,1,2,11,True,True,18.051702,6.465258,242.588,37.138356,2.0573,-0.21181
L1_14,1,3,11,True,True,19.89113,4.67362,223.661,27.25542,1.3702,-0.45599
L1_15,1,1,11,True,False,14.159022,4.15504,204.13,14.159022,0.0,-0.5
L1_16,1,2,11,True,True,18.419453,3.794779,251.132,34.777653,1.8881,-0.03125
L1_17,1,3,11,True,True,17.666337,8.124532,207.362,39.664448,2.2452,-0.23865
L1_18,1,1,11,True,False,13.308966,3.165605,220.467,13.308966,0.0,-0.5
L1_19,1,2,11,True,True,20.359376,5.274217,196.033,22.825207,1.1211,-0.71709
L1_20,1,3,11,False,False,,,,25.995295,0.0,-1.0
L1_21,1,1,11,True,True,15.03335,2.921829,229.524,34.440129,2.2909,0.29285
L1_22,1,2,11,True,False,21.589692,5.810704,220.751,21.589692,0.0,-0.5
L1_23,1,3,11,True,True,29.999167,7.798892,199.711,65.804931,2.1936,-0.24147
L1_24,1,1,11,True,False,11.095908,4.817293,226.001,11.095908,0.0,-0.5
L1_25,1,2,11,True,True,19.657976,5.062229,249.418,22.995351,1.1698,-0.65409
L1_26,1,3,11,True,False,20.617561,6.013534,241.45,20.617561,0.0,-0.5
L1_27,1,1,11,True,True,11.766749,3.457399,211.088,15.055792,1.2795,-0.37377
L1_28,1,2,11,True,True,22.128314,3.057586,224.484,52.095554,2.3542,0.29741
L1_29,1,3,11,True,False,21.718748,7.040033,255.305,21.718748,0.0,-0.5
L1_30,1,1,11,True,True,17.513871,5.003521,218.408,26.149553,1.4931,-0.40423
L1_31,1,2,11,True,False,19.196298,6.90216,249.865,19.196298,0.0,-0.5
L1_32,1,3,11,True,True,18.765827,7.271059,206.003,28.799605,1.5347,-0.56363
L1_33,1,1,11,True,True,14.028006,3.824369,244.529,21.45446,1.5294,-0.24582
L1_34,1,2,11,True,False,20.461708,5.988998,261.873,20.461708,0.0,-0.5
L1_35,1,3,11,True,True,28.437789,8.601753,218.308,66.43198,2.336,-0.22752
L1_36,1,1,11,True,False,11.490405,3.631746,224.258,11.490405,0.0,-0.5
L1_37,1,2,11,True,True,22.094201,4.822781,234.509,26.564081,1.2023,-0.60243
L1_38,1,3,11,True,False,21.988412,8.548108,250.772,21.988412,0.0,-0.5
L1_39,1,1,11,True,True,14.11651,3.125778,233.793,28.643513,2.0291,0.13774
L1_40,1,2,11,True,True,16.772536,3.218231,238.434,24.458266,1.4582,-0.20719
L2_1,2,3,11,True,True,29.668692,6.265284,215.643,66.582334,2.2442,-0.10917
L2_2,2,4,11,True,False,26.948108,8.991536,211.17,26.948108,0.0,-0.5
L2_3,2,2,11,True,True,23.96024,3.56572,223.439,38.349845,1.6006,-0.16533
L2_4,2,3,11,True,True,18.049368,7.178519,244.841,39.643377,2.1964,-0.19873
L2_5,2,4,11,False,False,,,,26.120294,0.0,-1.0
L2_6,2,2,11,True,True,19.370747,5.495572,243.261,38.092264,1.9665,-0.17572
L2_7,2,3,11,True,False,21.366718,6.289894,228.964,21.366718,0.0,-0.5
L2_8,2,4,11,True,True,33.098704,7.793135,236.002,52.045591,1.5724,-0.574
L2_9,2,2,11,True,True,15.88916,4.158536,228.463,19.585794,1.2327,-0.50341
L2_10,2,3,11,True,True,19.682381,7.407571,197.707,23.569164,1.1975,-0.82104
L2_11,2,4,11,False,False,,,,21.370358,0.0,-1.0
L2_12,2,2,11,True,True,14.065096,4.145231,236.358,17.66914,1.2562,-0.48286
L2_13,2,3,11,True,True,20.923443,6.041609,195.617,24.699206,1.1805,-0.73343
L2_14,2,4,11,True,False,24.397785,8.504924,243.054,24.397785,0.0,-0.5
L2_15,2,2,11,True,False,19.0543,3.37362,237.493,19.0543,0.0,-0.5
L2_16,2,3,11,True,True,24.752377,4.651411,241.844,43.60974,1.7618,-0.20223
L2_17,2,4,11,True,False,29.803129,9.980788,206.733,29.803129,0.0,-0.5
L2_18,2,2,11,True,False,23.755794,4.187346,224.029,23.755794,0.0,-0.5
L2_19,2,3,11,True,False,20.987855,7.027472,262.992,20.987855,0.0,-0.5
L2_20,2,4,11,True,True,30.563118,9.078337,200.122,61.067856,1.9981,-0.41075
L3_1,3,4,11,True,False,33.644489,9.032225,213.64,33.644489,0.0,-0.5
L3_2,3,3,11,True,False,27.857734,6.80752,237.797,27.857734,0.0,-0.5
L3_3,3,4,11,True,False,35.819587,6.183111,226.943,35.819587,0.0,-0.5
L3_4,3,3,11,True,False,22.545833,7.021362,209.726,22.545833,0.0,-0.5
L3_5,3,4,11,False,False,,,,33.729812,0.0,-1.0
L3_6,3,3,11,True,True,28.843404,5.070111,233.79,47.593037,1.65,-0.31088
L3_7,3,4,11,True,False,27.396963,5.1961,244.92,27.396963,0.0,-0.5
L3_8,3,3,11,True,True,30.768576,4.166576,217.279,41.882741,1.3612,-0.40517
L3_9,3,4,11,True,True,31.749615,9.472639,252.331,34.586407,1.0893,-1.03862
L3_10,3,3,11,True,False,18.771724,5.830981,217.053,18.771724,0.0,-0.5
L4_1,4,5,11,True,True,41.731956,11.593265,225.88,73.917743,1.7713,-0.65353
L4_2,4,4,11,True,False,27.891691,6.509924,212.578,27.891691,0.0,-0.5
L4_3,4,5,11,False,False,,,,42.468547,0.0,-1.0
L4_4,4,4,11,False,False,,,,36.191195,0.0,-1.0
L4_5,4,5,11,True,False,33.541793,11.73064,252.63,33.541793,0.0,-0.5
L4_6,4,4,11,True,True,26.555964,7.895636,217.522,64.185404,2.417,-0.15063
L4_7,4,5,11,False,False,,,,25.480841,0.0,-1.0
L4_8,4,4,11,True,False,27.455898,6.576936,205.004,27.455898,0.0,-0.5
L4_9,4,5,11,True,False,25.697645,11.569182,254.337,25.697645,0.0,-0.5
L1_1,1,2,22,True,True,17.499784,3.987177,259.023,41.340464,2.3623,0.16811
L1_2,1,3,22,True,True,21.01698,4.264527,201.101,38.410305,1.8276,-0.12217
L1_3,1,1,22,True,True,15.168321,4.177162,201.493,20.722633,1.3662,-0.4028
L1_4,1,2,22,True,False,16.528013,2.84718,243.023,16.528013,0.0,-0.5
L1_5,1,3,22,True,False,19.964236,5.196745,255.556,19.964236,0.0,-0.5
L1_6,1,1,22,True,False,12.23847,4.726996,247.166,12.23847,0.0,-0.5
L1_7,1,2,22,False,False,,,,21.830894,0.0,-1.0
L1_8,1,3,22,True,False,18.401286,5.459796,261.167,18.401286,0.0,-0.5
L1_9,1,1,22,True,True,13.79957,2.943685,253.549,29.818309,2.1608,0.23065
L1_10,1,2,22,True,True,13.36369,6.418756,230.308,32.827836,2.4565,-0.03088
L1_11,1,3,22,True,False,23.092495,3.802491,263.636,23.092495,0.0,-0.5
L1_12,1,1,22,True,False,13.414345,3.943427,201.127,13.414345,0.0,-0.5
L1_13,1,2,22,True,True,13.117545,4.782906,198.243,23.475561,1.7896,-0.20051
L1_14,1,3,22,True,True,30.823714,4.979948,229.906,59.859247,1.942,-0.139
L1_15,1,1,22,True,True,11.002627,2.81887,202.527,18.404463,1.6727,-0.00371
L1_16,1,2,22,True,True,23.806673,5.164099,255.306,35.943664,1.5098,-0.40888
L1_17,1,3,22,True,True,22.881623,8.155681,198.394,38.761253,1.694,-0.52227
L1_18,1,1,22,False,False,,,,16.718938,0.0,-1.0
