idx,x,y,series,label
1,1,0.647159,passatk,turn_1_p1
2,2,0.705359,passatk,turn_2_p2
3,3,0.740873,passatk,turn_3_p3
4,4,0.762558,passatk,turn_4_p4
5,5,0.782453,passatk,turn_5_p5
6,1,0.634476,passatk,turn_1_p6
7,2,0.695949,passatk,turn_2_p7
8,3,0.743374,passatk,turn_3_p8
9,4,0.767441,passatk,turn_4_p9
10,5,0.788312,passatk,turn_5_p10
11,1,0.636388,passatk,turn_1_p11
12,2,0.701264,passatk,turn_2_p12
13,3,0.747593,passatk,turn_3_p13
14,4,0.762306,passatk,turn_4_p14
15,5,0.789951,passatk,turn_5_p15
16,1,0.635231,passatk,turn_1_p16
17,2,0.704143,passatk,turn_2_p17
18,3,0.73984,passatk,turn_3_p18
19,4,0.776994,passatk,turn_4_p19
20,5,0.782628,passatk,turn_5_p20
21,1,0.632314,passatk,turn_1_p21
22,2,0.694299,passatk,turn_2_p22
23,3,0.745625,passatk,turn_3_p23
24,4,0.768021,passatk,turn_4_p24
25,5,0.793825,passatk,turn_5_p25
26,1,0.647909,passatk,turn_1_p26
27,2,0.705179,passatk,turn_2_p27
28,3,0.746601,passatk,turn_3_p28
29,4,0.768672,passatk,turn_4_p29
30,5,0.797139,passatk,turn_5_p30
