index,reward
0,-1.15581
1,-1.03862
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-0.9312
24,-0.82687
25,-0.82104
26,-0.77806
27,-0.7439
28,-0.73343
29,-0.71736
30,-0.71709
31,-0.70871
32,-0.70401
33,-0.69155
34,-0.68529
35,-0.67969
36,-0.67893
37,-0.65409
38,-0.65353
39,-0.65216
40,-0.63089
41,-0.60243
42,-0.59373
43,-0.59355
44,-0.574
45,-0.56788
46,-0.56363
47,-0.5443
48,-0.52227
49,-0.52138
50,-0.50702
51,-0.50684
52,-0.50341
53,-0.5
54,-0.5
55,-0.5
56,-0.5
57,-0.5
58,-0.5
59,-0.5
60,-0.5
61,-0.5
62,-0.5
63,-0.5
64,-0.5
65,-0.5
66,-0.5
67,-0.5
68,-0.5
69,-0.5
70,-0.5
71,-0.5
72,-0.5
73,-0.5
74,-0.5
75,-0.5
76,-0.5
77,-0.5
78,-0.5
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.48516
144,-0.48286
145,-0.45599
146,-0.41075
147,-0.40954
148,-0.40888
149,-0.4062
150,-0.40517
151,-0.40423
152,-0.4028
153,-0.39837
154,-0.38039
155,-0.37399
156,-0.37377
157,-0.33423
158,-0.32514
159,-0.31708
160,-0.31088
161,-0.30213
162,-0.30082
163,-0.30001
164,-0.29902
165,-0.2947
166,-0.28591
167,-0.2748
168,-0.25584
169,-0.25002
170,-0.24582
171,-0.24147
172,-0.23865
173,-0.23583
174,-0.22817
175,-0.22752
176,-0.22273
177,-0.21784
178,-0.21737
179,-0.21181
180,-0.21154
181,-0.20719
182,-0.20537
183,-0.20223
184,-0.20051
185,-0.19941
186,-0.19873
187,-0.19794
188,-0.19741
189,-0.18719
190,-0.18467
191,-0.18383
192,-0.17994
193,-0.17572
194,-0.17556
195,-0.16533
196,-0.16043
197,-0.1561
198,-0.15063
199,-0.15042
200,-0.14829
201,-0.139
202,-0.1266
203,-0.12217
204,-0.10917
205,-0.08686
206,-0.07868
207,-0.07519
208,-0.06139
209,-0.05203
210,-0.03943
211,-0.03125
212,-0.03088
213,-0.02359
214,-0.02079
215,-0.0134
216,-0.00371
217,0.07472
218,0.08287
219,0.09169
220,0.09584
221,0.10074
222,0.12224
223,0.13774
224,0.14967
225,0.16599
226,0.16811
227,0.17226
228,0.19348
229,0.22736
230,0.22892
231,0.23065
232,0.26861
233,0.27307
234,0.29285
235,0.29741
236,0.32075
