task_id,seed,runtime_ms,joules,correct
L1_1,11,20.070379,5.205004,True
L1_3,11,12.567238,4.036463,False
L1_4,11,24.007481,4.706699,True
L1_5,11,19.278806,4.977442,True
L1_6,11,14.966085,5.088035,True
L1_7,11,21.467793,4.229709,True
L1_8,11,30.176079,4.022566,False
L1_9,11,17.90872,5.075511,True
L1_10,11,18.245809,4.134225,True
L1_11,11,31.144088,6.297655,False
L1_12,11,15.228179,5.072153,False
L1_13,11,18.051702,6.465258,True
L1_14,11,19.89113,4.67362,True
L1_15,11,14.159022,4.15504,False
L1_16,11,18.419453,3.794779,True
L1_17,11,17.666337,8.124532,True
L1_18,11,13.308966,3.165605,False
L1_19,11,20.359376,5.274217,True
L1_21,11,15.03335,2.921829,True
L1_22,11,21.589692,5.810704,False
L1_23,11,29.999167,7.798892,True
L1_24,11,11.095908,4.817293,False
L1_25,11,19.657976,5.062229,True
L1_26,11,20.617561,6.013534,False
L1_27,11,11.766749,3.457399,True
L1_28,11,22.128314,3.057586,True
L1_29,11,21.718748,7.040033,False
L1_30,11,17.513871,5.003521,True
L1_31,11,19.196298,6.90216,False
L1_32,11,18.765827,7.271059,True
L1_33,11,14.028006,3.824369,True
L1_34,11,20.461708,5.988998,False
L1_35,11,28.437789,8.601753,True
L1_36,11,11.490405,3.631746,False
L1_37,11,22.094201,4.822781,True
L1_38,11,21.988412,8.548108,False
L1_39,11,14.11651,3.125778,True
L1_40,11,16.772536,3.218231,True
L2_1,11,29.668692,6.265284,True
L2_2,11,26.948108,8.991536,False
L2_3,11,23.96024,3.56572,True
L2_4,11,18.049368,7.178519,True
L2_6,11,19.370747,5.495572,True
L2_7,11,21.366718,6.289894,False
L2_8,11,33.098704,7.793135,True
L2_9,11,15.88916,4.158536,True
L2_10,11,19.682381,7.407571,True
L2_12,11,14.065096,4.145231,True
L2_13,11,20.923443,6.041609,True
L2_14,11,24.397785,8.504924,False
L2_15,11,19.0543,3.37362,False
L2_16,11,24.752377,4.651411,True
L2_17,11,29.803129,9.980788,False
L2_18,11,23.755794,4.187346,False
L2_19,11,20.987855,7.027472,False
L2_20,11,30.563118,9.078337,True
L3_1,11,33.644489,9.032225,False
L3_2,11,27.857734,6.80752,False
L3_3,11,35.819587,6.183111,False
L3_4,11,22.545833,7.021362,False
L3_6,11,28.843404,5.070111,True
L3_7,11,27.396963,5.1961,False
L3_8,11,30.768576,4.166576,True
L3_9,11,31.749615,9.472639,True
L3_10,11,18.771724,5.830981,False
L4_1,11,41.731956,11.593265,True
L4_2,11,27.891691,6.509924,False
L4_5,11,33.541793,11.73064,False
L4_6,11,26.555964,7.895636,True
L4_8,11,27.455898,6.576936,False
L4_9,11,25.697645,11.569182,False
L1_1,22,17.499784,3.987177,True
L1_2,22,21.01698,4.264527,True
L1_3,22,15.168321,4.177162,True
L1_4,22,16.528013,2.84718,False
L1_5,22,19.964236,5.196745,False
L1_6,22,12.23847,4.726996,False
L1_8,22,18.401286,5.459796,False
L1_9,22,13.79957,2.943685,True
L1_10,22,13.36369,6.418756,True
L1_11,22,23.092495,3.802491,False
L1_12,22,13.414345,3.943427,False
L1_13,22,13.117545,4.782906,True
L1_14,22,30.823714,4.979948,True
L1_15,22,11.002627,2.81887,True
L1_16,22,23.806673,5.164099,True
L1_17,22,22.881623,8.155681,True
L1_19,22,22.659406,5.04424,True
L1_20,22,22.296298,7.349773,False
L1_21,22,13.483243,2.498264,True
L1_22,22,21.683728,5.955382,True
L1_23,22,21.604275,4.704955,True
L1_24,22,17.502678,4.75458,True
L1_25,22,19.154934,4.273453,False
L1_26,22,30.121464,4.264791,False
L1_27,22,11.166864,3.232875,False
L1_28,22,14.802356,3.267645,False
