idx,x,y,series,label
1,2.205992,0.501499,pareto,pareto_1
2,2.205258,0.256424,pareto,pareto_2
3,2.165542,0.244285,pareto,pareto_3
4,2.091614,0.248914,pareto,pareto_4
5,2.036085,0.254251,pareto,pareto_5
6,1.77248,0.255894,pareto,pareto_6
7,1.974368,0.260962,pareto,pareto_7
8,1.8864,0.264268,pareto,pareto_8
9,2.119749,0.265064,pareto,pareto_9
10,1.891968,0.28412,pareto,pareto_10
11,1.890116,0.293345,pareto,pareto_11
12,2.101114,0.296266,pareto,pareto_12
13,2.000839,0.29724,pareto,pareto_13
14,1.998189,0.300979,pareto,pareto_14
15,2.019143,0.302309,pareto,pareto_15
16,1.938319,0.312358,pareto,pareto_16
17,1.946946,0.321694,pareto,pareto_17
18,1.700555,0.343973,pareto,pareto_18
19,1.57886,0.345129,pareto,pareto_19
20,1.894736,0.347857,pareto,pareto_20
21,2.035064,0.348692,pareto,pareto_21
22,1.92788,0.349907,pareto,pareto_22
23,2.047484,0.351326,pareto,pareto_23
24,2.036655,0.3575,pareto,pareto_24
25,2.164927,0.362022,pareto,pareto_25
26,1.844301,0.36328,pareto,pareto_26
27,1.937456,0.363676,pareto,pareto_27
28,1.654808,0.36832,pareto,pareto_28
29,1.985409,0.369007,pareto,pareto_29
30,1.773245,0.374959,pareto,pareto_30
