idx,x,y,series,label
1,1,0.635673,passatk,turn_1_p1
2,2,0.700001,passatk,turn_2_p2
3,3,0.746268,passatk,turn_3_p3
4,4,0.771036,passatk,turn_4_p4
5,5,0.787674,passatk,turn_5_p5
6,1,0.634878,passatk,turn_1_p6
7,2,0.699423,passatk,turn_2_p7
8,3,0.734717,passatk,turn_3_p8
9,4,0.76923,passatk,turn_4_p9
10,5,0.783286,passatk,turn_5_p10
11,1,0.641698,passatk,turn_1_p11
12,2,0.695494,passatk,turn_2_p12
13,3,0.7321,passatk,turn_3_p13
14,4,0.768091,passatk,turn_4_p14
15,5,0.791345,passatk,turn_5_p15
16,1,0.634635,passatk,turn_1_p16
17,2,0.704509,passatk,turn_2_p17
18,3,0.744286,passatk,turn_3_p18
19,4,0.764842,passatk,turn_4_p19
20,5,0.786169,passatk,turn_5_p20
21,1,0.646876,passatk,turn_1_p21
22,2,0.706549,passatk,turn_2_p22
23,3,0.74047,passatk,turn_3_p23
24,4,0.765268,passatk,turn_4_p24
25,5,0.784483,passatk,turn_5_p25
26,1,0.633814,passatk,turn_1_p26
27,2,0.707285,passatk,turn_2_p27
28,3,0.740079,passatk,turn_3_p28
29,4,0.777553,passatk,turn_4_p29
30,5,0.79097,passatk,turn_5_p30
