idx,x,y,series,label
1,0.862262,0.944717,reward_curve,reward_curve_1
2,0.850819,0.102561,reward_curve,reward_curve_2
3,0.637725,0.820631,reward_curve,reward_curve_3
4,0.349061,0.056275,reward_curve,reward_curve_4
5,0.47099,0.698867,reward_curve,reward_curve_5
6,0.250888,0.517501,reward_curve,reward_curve_6
7,0.314914,0.639369,reward_curve,reward_curve_7
8,0.346067,0.211251,reward_curve,reward_curve_8
9,0.589177,0.866113,reward_curve,reward_curve_9
10,0.612048,0.010795,reward_curve,reward_curve_10
11,0.466027,0.347521,reward_curve,reward_curve_11
12,0.30965,0.906859,reward_curve,reward_curve_12
13,0.475756,0.733927,reward_curve,reward_curve_13
14,0.243136,0.121975,reward_curve,reward_curve_14
15,0.725126,0.269289,reward_curve,reward_curve_15
16,0.042485,0.47918,reward_curve,reward_curve_16
17,0.942694,0.275671,reward_curve,reward_curve_17
18,0.545814,0.823816,reward_curve,reward_curve_18
19,0.277159,0.327965,reward_curve,reward_curve_19
20,0.385713,0.200263,reward_curve,reward_curve_20
21,0.62743,0.885678,reward_curve,reward_curve_21
22,0.908623,0.186582,reward_curve,reward_curve_22
23,0.225208,0.656958,reward_curve,reward_curve_23
24,0.418567,0.467839,reward_curve,reward_curve_24
25,0.555122,0.838121,reward_curve,reward_curve_25
26,0.110951,0.967789,reward_curve,reward_curve_26
27,0.973159,0.064386,reward_curve,reward_curve_27
28,0.076484,0.404632,reward_curve,reward_curve_28
29,0.268481,0.963383,reward_curve,reward_curve_29
30,0.554591,0.329764,reward_curve,reward_curve_30
