task_id,seed,runtime_ms,joules,correct
L1_1,11,14.102777,3.732136,True
L1_2,11,19.247082,5.465591,False
L1_3,11,16.813157,3.662689,True
L1_4,11,18.167826,4.515563,True
L1_5,11,22.687891,4.287956,False
L1_6,11,10.44487,3.474514,True
L1_7,11,21.998766,4.817328,True
L1_8,11,22.394295,5.179245,True
L1_9,11,14.110441,2.430201,True
L1_10,11,13.750741,5.727622,True
L1_11,11,25.466541,7.81814,False
L1_12,11,11.707382,3.251417,True
L1_13,11,23.238031,3.298256,False
L1_14,11,21.279368,5.189841,False
L1_15,11,13.912548,3.795018,True
L1_16,11,18.798566,4.991821,True
L1_17,11,28.481679,4.261569,True
L1_18,11,15.374621,4.701163,False
L1_19,11,20.663375,5.737587,True
L1_20,11,25.770884,4.473538,False
L1_21,11,15.343123,3.376481,False
L1_22,11,23.182959,4.730579,True
L1_23,11,16.338162,7.723876,False
L1_24,11,9.418419,4.218529,True
L1_25,11,20.358603,4.739169,True
L1_26,11,24.407271,5.086599,False
L1_27,11,11.53666,4.873397,True
L1_28,11,16.423155,6.698125,True
L1_29,11,26.0118,4.732989,True
L1_30,11,10.85401,3.630926,False
L1_31,11,15.334938,4.491482,False
L1_32,11,23.743376,7.478067,True
L1_33,11,12.965655,2.748892,True
L1_34,11,21.099472,5.981339,False
L1_35,11,23.122425,5.808752,False
L1_36,11,12.179881,3.37238,True
L1_37,11,13.862572,6.553062,True
L1_38,11,25.942311,6.325113,False
L1_39,11,11.761516,3.064941,True
L1_40,11,22.549559,6.470671,True
L2_1,11,20.572088,7.719867,True
L2_2,11,29.16479,8.459468,False
L2_3,11,21.595058,3.599326,True
L2_4,11,19.426964,7.00519,True
L2_5,11,31.968631,6.734929,False
L2_6,11,23.235065,6.519021,True
L2_7,11,25.755252,3.686565,True
L2_8,11,33.42587,8.696534,False
L2_9,11,23.532164,5.735605,False
L2_10,11,19.279472,6.780759,False
L2_11,11,22.440934,7.275272,False
L2_12,11,21.235669,4.471981,True
L2_13,11,18.967478,5.056265,True
L2_14,11,34.996738,9.250534,True
L2_15,11,15.373373,3.31406,False
L2_16,11,21.804627,6.118261,True
L2_17,11,34.109431,6.927423,True
L2_18,11,22.667175,4.02684,False
L2_19,11,22.607426,5.672657,True
L2_20,11,31.395866,7.583646,False
L3_1,11,31.887281,6.555132,True
L3_2,11,29.052219,5.277462,True
L3_3,11,29.285441,8.63891,False
L3_4,11,17.314504,4.949728,True
L3_5,11,32.275784,5.009195,True
L3_6,11,27.002941,4.943812,True
L3_8,11,23.596345,5.678655,False
L3_9,11,23.419475,6.691931,False
L3_10,11,16.538598,7.098951,True
L4_1,11,33.76262,9.176128,True
L4_3,11,30.009286,7.433084,False
L4_4,11,26.058871,4.823735,False
L4_5,11,39.174606,10.645294,False
L4_6,11,35.97442,7.009723,True
L4_7,11,31.088228,8.496828,True
L4_8,11,25.902595,7.698842,True
L4_9,11,41.410553,8.570986,False
L1_1,22,13.998869,4.267857,True
L1_2,22,22.662887,6.265254,False
L1_3,22,15.044449,4.637031,True
L1_4,22,12.948431,4.903585,True
L1_5,22,25.235592,5.017587,False
L1_6,22,9.944408,3.173564,True
L1_7,22,19.856835,3.436994,True
L1_8,22,20.238908,6.976664,False
L1_9,22,15.873929,2.679149,False
L1_10,22,12.988429,4.724765,True
L1_11,22,22.375373,6.796406,False
L1_12,22,15.981438,3.129876,True
L1_13,22,20.347813,4.3241,True
L1_14,22,24.901877,3.832231,True
L1_15,22,10.535803,4.331217,True
L1_16,22,15.9764,4.61653,True
L1_17,22,22.639373,4.982551,True
L1_18,22,12.022448,4.083886,True
L1_19,22,15.938499,6.381511,True
L1_20,22,23.357004,3.88776,False
L1_21,22,13.848045,2.442347,False
L1_22,22,21.447744,4.092639,True
L1_23,22,28.332215,7.854463,True
L1_24,22,10.229094,4.234248,True
L1_25,22,22.154641,6.239751,False
L1_27,22,15.350913,2.25132,True
L1_28,22,19.291604,3.961255,True
L1_30,22,14.016853,3.103649,True
L1_31,22,18.39051,4.456073,True
L1_32,22,16.916634,5.949266,False
L1_33,22,12.843141,3.107021,False
L1_34,22,12.315698,5.122793,False
L1_36,22,12.81231,4.299878,True
L1_37,22,16.618782,4.210431,True
L1_38,22,26.013659,6.649067,True
L1_39,22,11.751776,3.314231,False
L1_40,22,15.248402,6.46978,True
L2_1,22,18.5848,6.03676,False
L2_3,22,20.744274,6.42821,True
L2_4,22,24.463617,3.682051,False
L2_5,22,24.247363,8.777772,False
L2_6,22,19.916498,4.049632,True
L2_7,22,24.237776,5.584796,True
L2_8,22,26.906671,6.556881,False
L2_9,22,12.735325,6.434502,False
L2_10,22,18.20024,4.5783,False
L2_11,22,28.425721,9.578947,True
L2_12,22,13.098207,5.957718,False
L2_14,22,24.819484,5.288225,True
L2_15,22,14.345212,2.987114,True
L2_16,22,21.870956,3.898039,True
L2_17,22,31.553255,4.348273,False
L2_18,22,17.957461,3.111844,True
L2_19,22,19.918818,8.071951,True
L3_1,22,32.572443,8.111383,False
L3_2,22,22.452676,7.143288,True
L3_3,22,32.965191,8.158918,False
L3_4,22,24.352576,7.658745,True
L3_5,22,23.780959,4.4675,False
L3_6,22,26.786,7.996445,False
L3_7,22,30.198106,8.55646,False
L3_10,22,21.356853,4.754022,False
L4_1,22,24.034629,11.539958,True
L4_2,22,32.240837,5.384945,True
L4_5,22,38.819217,11.064801,False
L4_8,22,33.637537,9.843022,False
L1_2,33,25.413763,4.946974,True
L1_3,33,15.961012,4.15584,True
L1_4,33,12.256961,4.715737,True
L1_6,33,14.053632,2.593812,True
L1_7,33,15.008151,5.23851,True
L1_8,33,28.027821,3.718557,False
L1_9,33,15.791563,4.283983,False
L1_10,33,12.471064,5.325026,True
L1_12,33,9.373032,4.059545,True
L1_13,33,22.585761,3.948532,True
L1_14,33,26.950212,3.713551,False
L1_15,33,13.373525,2.057141,True
L1_16,33,12.867839,2.756649,False
L1_17,33,17.607966,5.754751,False
L1_18,33,16.026062,3.451533,True
L1_19,33,12.887596,5.53451,True
L1_20,33,20.454836,5.362446,False
L1_21,33,14.876611,4.335057,False
L1_22,33,18.303106,4.362859,True
L1_23,33,28.346192,5.539913,True
L1_24,33,15.663809,2.172825,False
L1_25,33,16.674182,5.739611,False
L1_26,33,17.560365,4.225925,False
L1_27,33,15.908749,4.547204,False
L1_28,33,22.616605,5.232068,True
L1_29,33,17.66419,6.400628,False
L1_30,33,11.13043,2.84557,False
L1_31,33,18.230755,3.025835,True
L1_33,33,15.822922,2.436455,True
L1_34,33,14.328802,4.114813,True
L1_35,33,27.36004,5.91468,False
L1_36,33,10.894611,2.319021,False
L1_37,33,13.866861,2.887773,False
L1_38,33,19.552585,4.443381,True
L1_39,33,15.135776,3.745601,False
L1_40,33,14.356922,6.007059,False
L2_1,33,24.068365,3.563131,True
L2_2,33,28.989199,4.926012,False
L2_3,33,13.796703,3.479873,True
L2_6,33,14.194743,4.497477,False
L2_7,33,24.693441,6.883334,True
L2_8,33,26.410843,7.527836,False
L2_9,33,21.781755,5.758496,False
L2_10,33,18.776682,3.958455,True
L2_11,33,30.511952,8.286497,True
L2_12,33,17.021601,6.310038,False
L2_13,33,26.374277,6.096601,True
L2_14,33,19.848254,5.23659,True
L2_15,33,14.873645,4.010167,False
L2_16,33,18.977061,4.281555,True
L2_17,33,27.0407,5.108299,False
L2_18,33,19.2775,4.650111,True
L2_19,33,18.745156,3.555634,True
L2_20,33,19.317092,9.684733,False
L3_1,33,19.796172,4.927662,False
L3_2,33,23.466438,7.000116,True
L3_3,33,25.080503,7.171797,True
L3_4,33,27.110736,7.104296,False
L3_5,33,26.47262,7.187902,True
L3_6,33,26.38317,7.124355,True
L3_7,33,28.635499,6.549151,False
L3_8,33,16.403412,4.148983,True
L3_10,33,20.456382,5.17243,False
L4_1,33,36.094866,6.076398,False
L4_2,33,25.951991,7.655679,False
L4_4,33,24.90232,4.517461,False
L4_5,33,35.349701,10.277496,True
L4_6,33,31.499444,4.404848,True
L4_7,33,27.169412,11.302189,True
L4_8,33,19.512295,8.644703,False
L4_9,33,27.489169,7.183794,True
