run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_1,11,L1_1,1,1,2.134834,1.729876,0.411963,192.367,0,14.199967,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_2,11,L1_2,1,1,3.498215,1.95278,0.627656,185.079,0,14.717642,2,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_3,11,L1_3,1,0,2.84206,1.799863,0.537747,183.169,0,9.256962,-1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_4,11,L1_4,1,1,2.165494,2.070904,0.369354,176.273,0,14.597965,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_5,11,L1_5,1,1,2.182997,1.85857,0.34599,160.58,0,14.056527,2,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_6,11,L1_6,1,1,2.599315,1.572694,0.479135,194.745,0,13.912831,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_7,11,L1_7,1,1,2.213125,1.846949,0.358332,168.17,0,13.898712,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_8,11,L1_8,1,1,2.228956,1.840377,0.378732,171.991,0,14.087855,2,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_9,11,L1_9,1,1,2.307366,1.937436,0.414064,177.66,0,14.184342,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_10,11,L1_10,1,0,2.564214,1.727115,0.450793,188.444,0,8.670174,6,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_11,11,L1_11,0,0,2.638123,1.816579,0.512197,182.032,0,8.268095,-1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_12,11,L1_12,1,1,2.274119,1.761717,0.373327,170.256,0,14.123171,2,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_13,11,L1_13,1,0,3.154515,2.098167,0.608252,180.789,0,9.294255,-1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_14,11,L1_14,1,1,2.493998,1.905525,0.437404,182.674,0,14.079279,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_15,11,L1_15,1,1,3.227453,1.692916,0.603657,180.562,0,13.79146,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_16,11,L1_16,1,0,2.965999,1.932297,0.601109,193.006,0,8.918481,-1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_17,11,L1_17,1,0,2.65977,1.657565,0.452703,179.404,0,8.900817,-1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_18,11,L1_18,1,1,2.809785,1.856887,0.484381,163.336,0,13.816718,1,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_19,11,L1_19,1,1,1.535155,1.706965,0.238549,163.857,0,13.804524,2,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L1_20,11,L1_20,1,0,1.54223,1.855379,0.281915,184.674,0,9.190281,6,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
run::M4_RUNTIME_PPO::runtime_control::seed11::L2_1,11,L2_1,1,0,5.643708,1.778819,1.133177,212.201,0,8.507722,6,,runtime_ppo,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json
