idx,x,y,series,label
1,2.50083,0.060755,pareto,pareto_1
2,2.496973,0.05468,pareto,pareto_2
3,2.308891,0.055411,pareto,pareto_3
4,2.246751,0.057817,pareto,pareto_4
5,2.26682,0.058314,pareto,pareto_5
6,2.386816,0.059073,pareto,pareto_6
7,2.365503,0.060048,pareto,pareto_7
8,2.397435,0.060233,pareto,pareto_8
9,2.491679,0.061457,pareto,pareto_9
10,2.446118,0.061715,pareto,pareto_10
11,2.471389,0.061879,pareto,pareto_11
12,2.473779,0.064251,pareto,pareto_12
13,2.318127,0.065018,pareto,pareto_13
14,2.239129,0.065421,pareto,pareto_14
15,2.218741,0.065846,pareto,pareto_15
16,2.434487,0.066196,pareto,pareto_16
17,2.349501,0.066427,pareto,pareto_17
18,2.392387,0.067434,pareto,pareto_18
19,2.309763,0.067826,pareto,pareto_19
20,2.340857,0.068992,pareto,pareto_20
21,2.271908,0.070025,pareto,pareto_21
22,1.925958,0.072699,pareto,pareto_22
23,1.842194,0.075302,pareto,pareto_23
24,1.872383,0.076162,pareto,pareto_24
25,2.081675,0.076402,pareto,pareto_25
26,1.991969,0.07822,pareto,pareto_26
27,2.069158,0.078367,pareto,pareto_27
28,1.99911,0.07842,pareto,pareto_28
29,1.841172,0.078617,pareto,pareto_29
30,2.000356,0.078627,pareto,pareto_30
