idx,x,y,series,label
1,1,0.644962,passatk,turn_1_pt_1
2,2,0.694025,passatk,turn_2_pt_2
3,3,0.740003,passatk,turn_3_pt_3
4,4,0.774471,passatk,turn_4_pt_4
5,5,0.786257,passatk,turn_5_pt_5
6,1,0.635473,passatk,turn_1_pt_6
7,2,0.701813,passatk,turn_2_pt_7
8,3,0.737174,passatk,turn_3_pt_8
9,4,0.777194,passatk,turn_4_pt_9
10,5,0.792099,passatk,turn_5_pt_10
11,1,0.634711,passatk,turn_1_pt_11
12,2,0.70379,passatk,turn_2_pt_12
13,3,0.743908,passatk,turn_3_pt_13
14,4,0.774252,passatk,turn_4_pt_14
15,5,0.793747,passatk,turn_5_pt_15
16,1,0.637256,passatk,turn_1_pt_16
17,2,0.704038,passatk,turn_2_pt_17
18,3,0.738431,passatk,turn_3_pt_18
19,4,0.7673,passatk,turn_4_pt_19
20,5,0.786336,passatk,turn_5_pt_20
21,1,0.637337,passatk,turn_1_pt_21
22,2,0.696562,passatk,turn_2_pt_22
23,3,0.747588,passatk,turn_3_pt_23
24,4,0.773567,passatk,turn_4_pt_24
25,5,0.787076,passatk,turn_5_pt_25
26,1,0.64023,passatk,turn_1_pt_26
27,2,0.699632,passatk,turn_2_pt_27
28,3,0.747307,passatk,turn_3_pt_28
29,4,0.767964,passatk,turn_4_pt_29
30,5,0.790185,passatk,turn_5_pt_30
