idx,x,y,series,label
1,1,6.694921,reward_curve,step_1
2,2,6.937263,reward_curve,step_2
3,3,7.097974,reward_curve,step_3
4,4,7.22623,reward_curve,step_4
5,5,7.257662,reward_curve,step_5
6,6,7.417495,reward_curve,step_6
7,7,7.590213,reward_curve,step_7
8,8,7.560492,reward_curve,step_8
9,9,7.724665,reward_curve,step_9
10,10,7.651844,reward_curve,step_10
11,11,7.805319,reward_curve,step_11
12,12,7.780066,reward_curve,step_12
13,13,7.786401,reward_curve,step_13
14,14,7.846226,reward_curve,step_14
15,15,7.798357,reward_curve,step_15
16,16,7.81799,reward_curve,step_16
17,17,7.939976,reward_curve,step_17
18,18,7.98743,reward_curve,step_18
19,19,7.904342,reward_curve,step_19
20,20,8.042981,reward_curve,step_20
21,21,7.962508,reward_curve,step_21
22,22,8.057039,reward_curve,step_22
23,23,8.094036,reward_curve,step_23
24,24,8.094202,reward_curve,step_24
25,25,8.163755,reward_curve,step_25
26,26,8.250824,reward_curve,step_26
27,27,8.248093,reward_curve,step_27
28,28,8.278306,reward_curve,step_28
29,29,8.345994,reward_curve,step_29
30,30,8.329448,reward_curve,step_30
